|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|239388.0|233582.0|228323.0|234183.0|225185.0|247863.0|223312.0|251790.0|232108.0|236816.0|243200.0|234133.0|245646.0|236789.0|231317.0|231905.0|234557.0|252266.0|241971.0|225899.0|240017.0|244828.0|230080.0|231715.0|236255.0|226739.0|232228.0|239714.0|225386.0|219283.0|235215.93333333332|68635338.75402299|(232122.396140111, 238309.47052655564)
1|tauxDeMortCasConnu|0.7276889401306665|0.761188790232124|0.7712757803637829|0.7173876839907253|0.8335368696849258|0.7738145669180152|0.7872393780898475|0.7549942412327734|0.7763627276957279|0.7461489088575096|0.7351973684210527|0.785451004343685|0.7205490828265064|0.7935334833966105|0.7569698725126126|0.8016213535715055|0.7439556269904544|0.7749756209715142|0.7430642515012129|0.7211187300519258|0.740780861355654|0.8597872792327675|0.8375347705146036|0.7617115853526961|0.740301792554655|0.7775459890005689|0.7776840002066935|0.734625428635791|0.7915309735298556|0.7488040568580328|0.7665460339674832|0.0012278292426035307|(0.7534617356486686, 0.7796303322862979)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.007002310762551643|0.0|0.00739180249103744|0.003586414661263135|0.007461294534601753|0.0|0.003755163349605708|0.0033460483169376965|0.00722908985758693|0.003562014675500463|0.003456380478363058|0.0|0.006847204628710329|0.0035080333964779345|0.010940121070673183|0.0|0.007246639370991703|0.0|0.003467045730333183|0.014868230308887485|0.010557432432432432|0.0068584753609272665|0.003688947912055482|0.010945309934692983|0.0|0.011205318791319613|0.025512063561484073|0.0070859167404783|0.0|0.003840835765862652|0.0057787364710924815|3.0012079220801736e-05|(0.0037330951240572676, 0.007824377818127694)
4|tauxDeMort25-35ans|0.003614544928793465|0.0037520636349992497|0.0076663600122661765|0.018658108814090604|0.00779848709350386|0.0071083309638896785|0.011758711245247522|0.010447137484329294|0.0037252272388615705|0.003678769819372402|0.0035687520074230037|0.007523322299127295|0.0|0.007354022650389763|0.003750234389649353|0.007566013467503972|0.007452397808995044|0.010340192327577293|0.007136485280999108|0.015381065907867414|0.0|0.0071154119823537785|0.0|0.007564868749527195|0.0|0.0038237993270113188|0.0037684654808561955|0.003634249164122692|0.007739938080495357|0.003972825871042073|0.006196659534343156|1.8569546689700777e-05|(0.004587562990036192, 0.007805756078650122)
5|tauxDeMort35-45ans|0.07478414576109865|0.06545855439950389|0.08813989564236356|0.06536397412962708|0.06859205776173286|0.0489109169166558|0.054612976043107844|0.05102040816326531|0.07287870900572618|0.06457972196730226|0.08293524416135882|0.11073813890715299|0.07630295591016156|0.0926529631790261|0.10282594050278339|0.09126970196931934|0.09997586789395664|0.06347795727933475|0.07366729172247521|0.08585533376261|0.07060722211014728|0.08964441050499684|0.09477009477009476|0.07747570080293|0.06125574272588055|0.05740734096372574|0.06969369620517823|0.0777000777000777|0.11495904583991953|0.08860338907963229|0.07787198252603818|0.0002913660099224049|(0.07149814638508713, 0.08424581866698923)
6|tauxDeMort45-55ans|0.20954376607295933|0.22172949002217296|0.19959415854429327|0.22869837950862518|0.2799892052354608|0.22654217051890402|0.2142492773337868|0.2480944552383799|0.22317765597820735|0.2762343229083981|0.2634515249194148|0.23049702951011267|0.2296781402278159|0.2612313348598704|0.24812275546849494|0.2461356699812937|0.18506110207076992|0.23431163447385023|0.241667189755822|0.1962642122360585|0.2847560589761438|0.2397708164663387|0.2163133548537389|0.2240769005942909|0.21411886841422267|0.25359256128486896|0.26695315297717875|0.21053974735230319|0.20948776861738072|0.19248267655910967|0.23254551269867557|0.0006959494693643409|(0.22269473984009552, 0.2423962855572555)
7|tauxDeMort55-65ans|0.6391998410280187|0.5431665598326643|0.6523635095063667|0.5955402158833283|0.7301576157545547|0.6430971044632858|0.6267927334537342|0.7309758840434837|0.7674386734274359|0.6908289947937525|0.6961387072639147|0.6757674544960609|0.573656901608173|0.6302802735684592|0.6639341485722029|0.7454342154304883|0.7196432191364281|0.6496181512818076|0.6133148679394599|0.651890482398957|0.5982316010912796|0.7600644122383253|0.7791941492088446|0.696263615055839|0.7495546368189304|0.7457460962117498|0.6241212578443812|0.6391363380468258|0.7588739290085679|0.703770197486535|0.6764731928964618|0.003974205149334565|(0.6529331856626355, 0.7000132001302883)
8|tauxDeMort65-75ans|1.3788991167592144|1.5002863141820957|1.404581334158799|1.362926866410325|1.5488639043949997|1.549944644834113|1.4897430790679147|1.3621766594911247|1.5114127082048119|1.3524234067470062|1.2315270935960592|1.3803274968800816|1.2602759569767863|1.3473447175830362|1.3114754098360655|1.4020462296324365|1.3932652518886905|1.5073425585992657|1.3013122783930986|1.2901208022205715|1.3682883417383565|1.5611385419692128|1.6611551180496806|1.381415760351078|1.4073849878934623|1.3407032811948725|1.539107852123434|1.4476162339820524|1.424916355048219|1.3900145890744042|1.4136012297093756|0.009960954963850042|(1.3763335856112653, 1.450868873807486)
9|tauxDeMort75+ans|4.720992797014667|5.063516826387341|5.13454146073586|4.67630700778643|5.388338326803411|4.977451144145649|5.177174413253566|4.891214084039197|4.9348188912445305|4.871966154531285|4.883994254124406|5.1694428489373925|4.8465608465608465|5.40122091480138|4.931335830212235|5.218636709483955|4.751161247511612|5.041254125412541|4.919011082693947|4.732196497065484|4.796793518079559|5.613901893795605|5.272612952483607|4.943186901673078|4.719685942393366|5.106675843083276|4.96203662349263|4.688581314878892|5.16847648785944|4.8344370860927155|4.994584134219264|0.05448464609151267|(4.907423873988893, 5.081744394449634)
10|nbRandomGenere|2202361243.0|2202298944.0|2202089150.0|2202283593.0|2202145791.0|2202336518.0|2201993383.0|2202405936.0|2202210619.0|2202244192.0|2202543624.0|2202110087.0|2202488823.0|2202308158.0|2202195050.0|2202186284.0|2202282277.0|2202530921.0|2202513838.0|2202150992.0|2202308209.0|2202430232.0|2202241127.0|2202205203.0|2202248837.0|2202123735.0|2202158229.0|2202399048.0|2202091790.0|2202002652.0|2202262949.5|22422388479.293102|(2202207035.2649956, 2202318863.7350044)
