|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|482027.0|484973.0|482896.0|471408.0|480970.0|480605.0|486838.0|473566.0|491249.0|476453.0|484012.0|487841.0|478797.0|475396.0|476813.0|484606.0|483191.0|480363.0|491417.0|474667.0|490120.0|478624.0|480741.0|484315.0|477122.0|482497.0|484308.0|489596.0|480439.0|487027.0|482095.9|27819026.093103446|(480126.4162038085, 484065.38379619154)
1|tauxDeMortCasConnu|0.8850126652656387|0.8503566177910935|0.8805208574931248|0.8627346162984082|0.8555627170093769|0.885966646206344|0.9002994836064563|0.959739508326189|0.8213757178131661|0.9281083338755344|0.87787079659182|0.8840995324296237|0.9695131757300067|0.8626492439986875|0.8842040800062078|0.8181904474975547|0.8419030983606897|0.8726733740941746|0.8520258761906895|0.860814002237358|0.7732800130580266|0.8819031222838805|0.8509779694263647|0.883309416392224|0.8731519401746305|0.9071558994149187|0.9171849319028387|0.8533566450706296|0.8050970050308156|0.8738735224125151|0.872430375199633|0.0016633596381087777|(0.8572012649541525, 0.8876594854451134)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.00699875772050461|0.005224296461409863|0.005227209367159186|0.0035881519223523923|0.005257807844649304|0.0035224290670846617|0.015543772991830884|0.007139287499107589|0.006886933764914516|0.007125552230297848|0.0035004813161809752|0.0034746351633078527|0.008816165320732094|0.008863990923273295|0.003530761761850119|0.01043224258441423|0.005263065560253329|0.001759757857318833|0.012088974854932303|0.00536097212294496|0.00866160828742681|0.010667045939411179|0.0017592625171528094|0.0034866895625947944|0.008870753126940478|0.007022718494329155|0.010512667764656411|0.00517410875976613|0.0035547340170271756|0.003482985615269409|0.006426594013969773|1.068963355556135e-05|(0.005205742461076848, 0.007647445566862698)
4|tauxDeMort25-35ans|0.010896411448496296|0.00905764283902757|0.016259868837058048|0.009281431568005049|0.007260977690646046|0.005408523833561693|0.012541656215286487|0.0073968600329160274|0.014230317691842471|0.009142104878227163|0.0072715373847915795|0.008948385711217697|0.009145783793671118|0.005522522688364045|0.003653635367190354|0.010823291723789595|0.014455306000758903|0.005489980785067253|0.003568242640499554|0.007335142668524903|0.010739600486861888|0.005511058858108604|0.009032770892799075|0.009097194425239256|0.005507012262280637|0.0054260341116677815|0.009039139473922082|0.014267116080823213|0.016419162987557925|0.0|0.00875762377927341|1.5116388491749272e-05|(0.0073058281871356545, 0.010209419371411167)
5|tauxDeMort35-45ans|0.1192055203908598|0.0716010323869786|0.08950586010065188|0.09427978812760342|0.06421956330696951|0.0740416652643624|0.08861394415649557|0.08412161582173085|0.05310498191111553|0.11518785784463191|0.07552363050483352|0.09146696379571269|0.0858354651945604|0.07193012502140778|0.07293080054274084|0.0673423347587461|0.08707154937124294|0.08598307313619044|0.08295175525914128|0.10745352208766842|0.056239248378986376|0.07604177228023928|0.10091496232508072|0.08043704125749908|0.05620178142616278|0.07967587177270338|0.07991475759190196|0.08786035177295559|0.0908983789789082|0.08472323742441358|0.08250928173974982|0.00024643257532895975|(0.07664748832174287, 0.08837107515775683)
6|tauxDeMort45-55ans|0.24313614045059126|0.27255212167729204|0.25920247822857234|0.2584903513192762|0.24563834477546137|0.2904992459719025|0.2591806145390957|0.27506112469437655|0.29435914914713307|0.292923664729762|0.2583572261255868|0.257426360459311|0.32078632154483105|0.2720936893358368|0.23321938596210984|0.23105941527821441|0.24402071047568397|0.2542507548069283|0.26050954426336276|0.27726136290787873|0.22003563957542419|0.2637272397075312|0.23796681156201416|0.2675972583017746|0.2628560504683617|0.2912636727715954|0.29421069281872825|0.2805311389564242|0.2655286865813182|0.23884231723879548|0.26408625048917245|0.0005094571278504646|(0.2556580419555146, 0.2725144590228303)
7|tauxDeMort55-65ans|0.798776619108819|0.7801916202849821|0.7653561849937855|0.7595234494463209|0.7849215902907177|0.7998680629999175|0.7240128207214096|0.8542463021439255|0.7006990993296965|0.8385077574520075|0.7453820489868989|0.7571957868849807|0.7724242875337005|0.7377227838975235|0.7934121734482528|0.7119983094104069|0.720164609053498|0.7621498564782738|0.7334373441847748|0.7593166150464582|0.7311821045188661|0.758250090660337|0.6987832949687603|0.7900031076726802|0.7928740856237663|0.764073745440205|0.8350594490564807|0.7285916035434588|0.6744024595854409|0.758541768840935|0.7610356343869094|0.0017618739675195462|(0.74536203036831, 0.7767092384055088)
8|tauxDeMort65-75ans|1.6620244814190426|1.5505009873473268|1.631070801638385|1.6173408685306363|1.4948263118994827|1.6900163846904397|1.6494995185932022|1.724266210334437|1.5528396836808052|1.6787943707753112|1.6197860865459695|1.4923480938150866|1.760029580329081|1.5905831517386528|1.6340536028934434|1.4999546567516098|1.5548326625130948|1.5248239886185386|1.4852368881430968|1.5265891849471205|1.3575643485501212|1.6642573853738092|1.658633139673405|1.674066525948031|1.5693832599118944|1.6439099376073785|1.7078178085427227|1.5272963604852685|1.3834317147608692|1.670652975344831|1.5932143657134366|0.009319560288841707|(1.5571665327328206, 1.6292621986940516)
9|tauxDeMort75+ans|5.658836424595413|5.477031802120141|5.68009726340038|5.535209105462839|5.637880380004718|5.594301192228123|5.951240285318855|6.264839784782278|5.244711215580926|5.997253166488631|5.696820477989557|5.948984371673125|6.388031346473522|5.561170727511236|5.747597086332486|5.324788690412825|5.487021331277306|5.709110282365477|5.548748831896999|5.606334940337253|5.027886107267161|5.677569089268062|5.506989224044662|5.6571135693845305|5.705783975152581|5.86078256814617|5.836575875486381|5.549585993300044|5.284100633236352|5.618524000845845|5.6594973247461295|0.07708629589653496|(5.555823280596369, 5.763171368895888)
