|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|1277144.0|1275445.0|1278516.0|1275213.0|1274917.0|1275367.0|1275347.0|1276530.0|1275547.0|1276677.0|1275396.0|1275710.0|1274539.0|1275833.0|1275625.0|1274902.0|1277783.0|1274960.0|1275266.0|1276651.0|1274147.0|1276607.0|1276274.0|1272781.0|1278133.0|1277427.0|1276843.0|1277065.0|1277195.0|1274350.0|1275939.6666666667|1634583.471264368|(1275462.2638218286, 1276417.0695115048)
1|tauxDeMortCasConnu|1.9406582186503638|1.9092944031298882|1.920586054456886|1.9210908295320077|1.9095360717599656|1.913174795960692|1.8974443818035405|1.9166020383383078|1.936424138036466|1.9234309069561055|1.9187765995816202|1.9303760258993032|1.910808535478318|1.926192534602883|1.928858402743753|1.9134019712887738|1.9247399597584254|1.93488423166217|1.9185801236761586|1.9164987142139864|1.9269362169357225|1.9172697627382587|1.9230196650562497|1.9159619761765772|1.9245258513785342|1.8985820716173996|1.9328139794790744|1.913215067361489|1.9191274629167823|1.9369090124377133|1.9206573334542472|0.00010887006831658377|(1.916761183183721, 1.9245534837247733)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.019875183845450572|0.016522698883726462|0.01186536762864036|0.01524693404043752|0.010585020872338032|0.01058166065936973|0.011889742454967602|0.013218246467423632|0.013215102218815661|0.013250561492543245|0.013249859220245786|0.013282505611858623|0.017865177460762778|0.00991519205727015|0.014565774402637729|0.011253135984219132|0.01255857916201228|0.010604664726896744|0.011947827818525771|0.015258262680943092|0.013907561077372397|0.012585198481827636|0.016567482670413126|0.014650355937056745|0.010508479029016539|0.009258646914886582|0.01190216421019222|0.01587081159362787|0.012595460330929148|0.012564143257683964|0.013238726706403038|6.027471301723786e-06|(0.012321980699986244, 0.014155472712819828)
4|tauxDeMort25-35ans|0.013072704880247142|0.021965651212915802|0.024649261549206086|0.02606184888242677|0.021982249333663065|0.021227061079156395|0.013011470638589283|0.02744576031617516|0.013022618231665523|0.011608453685684045|0.022619626981787773|0.012298022068117377|0.013705576799199594|0.011625759948573108|0.015718327569946556|0.015101074235508117|0.021102647361147985|0.022049349199677527|0.013683821617701392|0.014978315484174049|0.0144350731033345|0.015772762496485418|0.02114323518779967|0.021295450330079478|0.02120267016852703|0.01294083992862105|0.019783743220656957|0.012312238364934745|0.012282665065371075|0.017114847472479326|0.017507104213795067|2.3155644627441752e-05|(0.01571026221956637, 0.019303946208023764)
5|tauxDeMort35-45ans|0.17555200648972039|0.19765357873730507|0.16503535565119143|0.18795440835635138|0.18633461372135027|0.1858759723477663|0.18868999753056714|0.17674696573779142|0.19437268905434837|0.18680781034559446|0.17310472518832273|0.1959723857092864|0.1946849729922317|0.17228883492059455|0.17288941433710892|0.18596594021067647|0.1713078401888193|0.1813069367397832|0.18027854304467605|0.19295371008863216|0.18450419269872373|0.17184745526259051|0.1875468867216804|0.17126872062265694|0.17216405773531207|0.18332910428825172|0.18009677030686205|0.16828388538914854|0.181316164495114|0.18202415957027024|0.18160526994942428|7.929689320808565e-05|(0.1782801329972437, 0.18493040690160473)
6|tauxDeMort45-55ans|0.5902492956239523|0.5621691152387134|0.5843141463647313|0.5531330267009139|0.5986384842425974|0.6034261727158352|0.5823458513824747|0.5365717575692824|0.5817422434367542|0.5843873176025809|0.5303723369269497|0.5585724441576906|0.5775936577951302|0.5931643172357113|0.5894144036653463|0.5866523143164692|0.5717893432761147|0.6105575071092313|0.5737436325180971|0.581412630565183|0.6127963842024081|0.6033640673766468|0.5897572255716821|0.5754555689921188|0.5656169469838745|0.5857171004316754|0.5874642516682554|0.5841916196250194|0.5523547913359376|0.5725841674793732|0.5793184040703584|0.0003829393204242721|(0.5720112808283637, 0.5866255273123531)
7|tauxDeMort55-65ans|1.7085346315392276|1.7013792465056004|1.6546811523407308|1.7071185851043342|1.7219359943183588|1.7032490079365077|1.6701513186874544|1.6889632107023413|1.6919844560548871|1.701524501581446|1.7193892392723853|1.6799505715168366|1.7230451856638664|1.7152232276026649|1.6538373126075585|1.7050717025231084|1.6790294541607638|1.749820308820978|1.7032626225034115|1.6818035186977345|1.7039759438690276|1.6687776095888296|1.6791194665381217|1.705289688180921|1.6683737058380739|1.6510882172340862|1.6759603469640645|1.727766841238594|1.730485552429002|1.6801396802515238|1.695031076675748|0.0006031220923985439|(1.685860765567893, 1.704201387783602)
8|tauxDeMort65-75ans|3.580626058694724|3.531536537927202|3.4849237220337113|3.5230614188881377|3.5314348317489372|3.4587311278863235|3.4945529546933183|3.515230358304386|3.5361721962112935|3.566551363192081|3.5098488192451995|3.5595452654928605|3.421195538660763|3.5513629742664907|3.5420891266584076|3.4555911423356407|3.5422267801214007|3.5642566816873806|3.456609905735081|3.4850590687977765|3.485559429169468|3.53365451172578|3.526354349538989|3.4626782414670707|3.472126158528151|3.5009367632927058|3.604501474191271|3.5393897603861406|3.5465593750215665|3.5118755571526306|3.516474716435163|0.0017945538127598338|(3.500656420579238, 3.5322930122910887)
9|tauxDeMort75+ans|12.597196831200488|12.442388768368057|12.572955032986602|12.482328279627554|12.296060485475527|12.422546634225466|12.35773551655775|12.504359533793483|12.657239736219417|12.499694652759118|12.483880124903687|12.590112239009759|12.446668721509337|12.471445929526125|12.584532053257222|12.451950036164455|12.553291510642092|12.402178575185932|12.530786425523269|12.505781073778671|12.525498801251574|12.416248583913255|12.51067220672776|12.57767022041991|12.650636583922914|12.380255346832561|12.497067650318312|12.377730979697041|12.483915628308493|12.71441836219395|12.499574884143327|0.00889263263509408|(12.464362403047215, 12.534787365239431)
