|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|750123.0|753366.0|749662.0|750728.0|745389.0|751009.0|751474.0|759100.0|753311.0|748819.0|750239.0|749671.0|744352.0|749931.0|754394.0|750966.0|747920.0|746417.0|750935.0|754331.0|751229.0|752435.0|750951.0|751381.0|750095.0|748572.0|751928.0|747063.0|752574.0|754574.0|750764.6333333333|8805689.136781609|(749656.5737200197, 751872.692946647)
1|tauxDeMortCasConnu|1.2352640833569961|1.259148939559258|1.2342895865069858|1.2498534755597235|1.2715508278227878|1.2441928126027784|1.2295834586426144|1.2522724278751154|1.2685331821784096|1.2380829012084362|1.2301413282967162|1.2352085114670301|1.2363774128369374|1.233713501642151|1.265121408706856|1.2421334654298597|1.2360947694940636|1.2837328195901219|1.2489762762422847|1.263105983977856|1.2333123455031687|1.268681015635902|1.2365653684461435|1.2289371171216732|1.2337103966830867|1.25799522290441|1.2459969571554723|1.2594653998391032|1.2506411329649973|1.2669400217871276|1.2479874050346023|0.00022980286108979672|(1.2423268480494578, 1.2536479620197467)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.011305311235218307|0.010167883046749666|0.010151826200735443|0.019141557447191822|0.019340819368124054|0.012414789400027085|0.007929046362266802|0.01228610999419202|0.01011622417552773|0.011300456538444153|0.014671361502347418|0.01244104640510309|0.011346745186143356|0.010156294081137506|0.015707217466425824|0.012434717731907486|0.010157211055559945|0.015960964042228153|0.006808124361738341|0.010154804350769509|0.012395343858107116|0.01576203825671857|0.01250028409736585|0.007937857912343369|0.0158179579016349|0.012490773860216884|0.012328521474042859|0.013672253301279497|0.01122510832229531|0.02135071356332172|0.012649112083305459|1.1438689656320468e-05|(0.011386210261494431, 0.013912013905116493)
4|tauxDeMort25-35ans|0.017489855883587518|0.023269071913066746|0.013947649821005161|0.019963830236982408|0.012946812141755823|0.015223730282341643|0.020925609458375474|0.015057101160555027|0.017484962931878584|0.014086325699327377|0.014006746582937449|0.017552687316428145|0.01885969565166142|0.012925361910133482|0.010462561467548622|0.022077876805447424|0.010510212423071085|0.008231033347443677|0.023374589483772194|0.01511522451921959|0.02229942256232102|0.0117057639181533|0.011692761011657683|0.010499300046663556|0.01743557554834885|0.015307984880421087|0.01995820517034915|0.021271567005436066|0.015113994396195925|0.018602271802443872|0.01624659284595098|1.765065497704749e-05|(0.01467781349618592, 0.017815372195716033)
5|tauxDeMort35-45ans|0.15216068167985392|0.16115342880778694|0.16286114458812417|0.1264591439688716|0.16154383513796716|0.17803770083192164|0.15303132258134539|0.1705112119164817|0.17695486571931074|0.167894280762565|0.1340381143863973|0.17703344085671152|0.14872978204525322|0.14346422632568553|0.15962298570994224|0.1529831718510964|0.14380651487090096|0.15783859099122635|0.16055169441301653|0.15414465883367467|0.15899970795972007|0.17385670320177096|0.1439098020969714|0.14072462356163196|0.17776814264809496|0.15411330583894073|0.15464307728909604|0.17619420516836334|0.1532092447110213|0.13990378924032243|0.15720477993313553|0.00018718413083508454|(0.15209601447638843, 0.16231354538988263)
6|tauxDeMort45-55ans|0.5286924755187985|0.5224925430675893|0.5485041727326785|0.5095838229930705|0.5279375513557929|0.5103231370161821|0.47816709396492085|0.5073643177205779|0.5496841593780369|0.499554700215996|0.5269046892482963|0.5331783751822288|0.5422470965691851|0.5436881364199915|0.5316036879375391|0.5092879099919854|0.5191108562769411|0.5356120696704555|0.5405295770077175|0.5252770608774859|0.4847378562011967|0.5155163297677634|0.5077957373766271|0.5009259540362488|0.5034683374356679|0.5342750142473337|0.5057377881588301|0.5159298416664128|0.5265186868481921|0.5281458128478311|0.5204264930577192|0.0003160544081399458|(0.513788108960544, 0.5270648771548943)
7|tauxDeMort55-65ans|1.4472755616882775|1.559468501253238|1.4474199316496144|1.5338168075920238|1.5560089216815889|1.446523727604582|1.3936294226992512|1.434855684435499|1.5715924496819271|1.4778691485518796|1.5085728773809146|1.3989473684210525|1.4620319260032821|1.4598080194921128|1.5347545964066838|1.4544456641053787|1.5415137176685267|1.5405646984594352|1.5127847610261358|1.5164359046811717|1.5248728393237796|1.5166750460868108|1.5151673914182429|1.4458592023571504|1.4965411628029783|1.5055974651404351|1.4922547875193235|1.5160448075465343|1.5024954580575103|1.5035005164696431|1.4939109455734993|0.002108537913708542|(1.4767645768664248, 1.5110573142805739)
8|tauxDeMort65-75ans|2.3547457904967093|2.317155572124234|2.396229496721809|2.286490728701784|2.4389099948407673|2.398056324537735|2.4475932583220503|2.416628068550255|2.3732369740062946|2.437401505865873|2.3401680359345542|2.3181595005961984|2.363668451085358|2.327076369246593|2.4468011367574687|2.370933336441735|2.44758915967661|2.4157876828853353|2.417034560682128|2.4754315451989872|2.31101486733494|2.4622540083204787|2.3661562272823207|2.3731101826096066|2.304385009196453|2.4090186172700907|2.265345891523222|2.472566122678672|2.4011480707976993|2.3886915985147312|2.384759602940023|0.003305989675927517|(2.3632895953679083, 2.406229610512138)
9|tauxDeMort75+ans|7.079199825575057|7.217334636689475|6.9820985804201525|7.239794392015013|7.18944376553296|7.141489041508195|6.9914968281819405|7.195135076956194|7.21722733856202|6.9877744612994235|7.000929266426151|7.106695440911004|7.034934737303939|7.083031603109758|7.144602187898694|7.146069866019708|6.862304328278906|7.355339060851454|6.994231421784866|7.084696033700758|7.052896725440807|7.177688077371116|7.034130017819977|7.038234734639529|7.048134597336888|7.160848733744012|7.232448281479069|7.034573017777293|7.11082116937128|7.281211003201128|7.107493808373559|0.011449322709259304|(7.0675387886527385, 7.1474488280943795)
10|nbRandomGenere|2232267225.0|2232247592.0|2232323675.0|2232207561.0|2231872315.0|2232302087.0|2232379160.0|2232484443.0|2232192753.0|2232268474.0|2232336243.0|2232279683.0|2232124106.0|2232298476.0|2232226156.0|2232251250.0|2232206885.0|2231766302.0|2232181069.0|2232264011.0|2232363090.0|2232118789.0|2232299346.0|2232405288.0|2232295669.0|2232042770.0|2232274129.0|2232032765.0|2232266936.0|2232203383.0|2232226054.366667|21745863757.964367|(2232170990.1097984, 2232281118.623535)
