|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|744765.0|752090.0|744834.0|756514.0|750270.0|753955.0|750676.0|746976.0|749018.0|745836.0|742891.0|747132.0|747068.0|750277.0|747326.0|751626.0|750820.0|749724.0|745717.0|750828.0|748200.0|749928.0|749419.0|751874.0|748260.0|750075.0|749036.0|745544.0|746843.0|746958.0|748816.0|8606884.27586207|(747720.5200509063, 749911.4799490937)
1|tauxDeMortCasConnu|0.979100790182138|0.9469611349705488|0.9435659489228473|0.9779065555957986|0.9935090034254335|0.9561578608802912|0.9644640297545146|0.9593347041939768|0.9949026592151324|0.9321083991655001|0.9001320516737987|0.9468206421355263|0.930972816396901|0.9892346426719733|0.9054950583814827|0.9955749268918318|0.9444340853999627|0.918071183528872|0.987237785916105|0.9905064808451469|0.9637797380379577|0.9584920152334624|0.9658148512380924|0.9873994844880924|0.9821452436318927|0.9997666899976668|1.014370470845193|0.9855890463876043|0.9750375915687769|0.9855975837998923|0.9658161158458805|0.0008273944341834683|(0.9550752881757938, 0.9765569435159673)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.006806888571234088|0.007915955173076705|0.007920971337399432|0.008972834742816124|0.009051412020275162|0.009053870529651425|0.012504689258471927|0.007927699381639449|0.019234468166955183|0.010182608105356053|0.006818569236888459|0.006810829218457347|0.007960153744683755|0.014628273076100777|0.007934798626146294|0.01016512683819377|0.005627272011074471|0.00901774240818811|0.008013279148302901|0.010181801726381048|0.005649781353461621|0.010181571355845919|0.006823687293156979|0.01027890084286987|0.007938037943821372|0.011362474292401913|0.005659693923752603|0.011401858502935978|0.007942901882467747|0.009022318961531087|0.009099682322451253|7.887118331743456e-06|(0.008051008011312668, 0.010148356633589841)
4|tauxDeMort25-35ans|0.011827460998947357|0.012830083045628441|0.01534050010030327|0.015150808820101627|0.015211616994886558|0.011610760853158708|0.01981906360753591|0.011750190940602784|0.014010507880910683|0.008249463784853984|0.010647737355811891|0.009357053463864229|0.022369520939048943|0.01524354494500598|0.01286203711282345|0.014003477530253347|0.011595278402634447|0.009417304296645085|0.012838618564642445|0.014074760435848415|0.014125790161387153|0.01764000282240045|0.01173791581566777|0.010463656234013859|0.012908676977961369|0.012892488367459359|0.01056623266844336|0.015417091624961457|0.016473883011896496|0.01534466477809254|0.013526006417859712|9.327385541833982e-06|(0.012385595371617032, 0.014666417464102396)
5|tauxDeMort35-45ans|0.14388332370477758|0.1112299003250505|0.12144212523719165|0.11165627046584284|0.12889110326451922|0.13286380919460766|0.11122742737503272|0.11713447475587861|0.1157783115843234|0.11789105992795545|0.11145104895104894|0.12859773973125252|0.11029451912681686|0.11939780090959415|0.11020065247515029|0.11180582692892188|0.1321748174470759|0.12597193866469744|0.13733568765940748|0.12844313962524825|0.13188729631042562|0.12253041573594153|0.12434148097248125|0.12789664217120808|0.11813865978253736|0.12664119410739605|0.1393015334051607|0.12430487405953548|0.11122015047432122|0.14468946160289814|0.12328742286587663|0.00010556695490631148|(0.1194508323548555, 0.1271240133768978)
6|tauxDeMort45-55ans|0.4143294886542945|0.40081177067478435|0.39824648061249696|0.4060791251206176|0.4155712841253792|0.3786272490458593|0.36671596733999234|0.3994075284743858|0.4322076227561391|0.3935555282253106|0.36525264165114774|0.3750600402653013|0.4191208634703614|0.42889528827890444|0.36940505264022|0.40887968994135676|0.4313436200077867|0.3841229193341869|0.3833493488172395|0.4477414496647027|0.3859470468431772|0.4045983571472249|0.37019333448594993|0.422026129273267|0.39082430253678646|0.40855416653931187|0.4197346786629765|0.393861475041835|0.3790057518488085|0.39029687147862074|0.39945883576528085|0.0004714134691017689|(0.3913514200104842, 0.4075662515200775)
7|tauxDeMort55-65ans|1.2099252007713008|1.1699526772504538|1.1459589867310012|1.1417212201950397|1.2322055638496963|1.1582003509065086|1.130671696531489|1.2232189973614775|1.17166902195693|1.0781299692568642|1.0274994670645918|1.176483046360421|1.095130165858205|1.1755411597408754|1.0550152908434831|1.1487487782063543|1.1640178137993626|1.0530396697332298|1.2035428232402425|1.1258815715957369|1.1212400343042277|1.1745974842104152|1.200879102390191|1.2110817664327276|1.172992861410736|1.2340094260225551|1.2066349112675463|1.1743498381842907|1.112926173789324|1.1507613623154713|1.1548675477193582|0.0028797247490182916|(1.1348294292219705, 1.1749056662167463)
8|tauxDeMort65-75ans|1.847591406222348|1.7424693346404772|1.7751968178652786|1.8905218119244722|1.898094857760342|1.870951987813812|1.8523276727943752|1.805504846479089|1.8860183795948986|1.755885141699931|1.7862169262525804|1.7649747442192973|1.7883091923311303|1.925612986800798|1.8107640512484802|1.958665876694664|1.8170770183577365|1.7861309440477857|1.8116619165537542|1.856974450552657|1.893539688122875|1.882503044713797|1.7911389447118755|1.8709542215805897|1.915632638263534|1.9600298493540411|1.9248886355970645|1.9108802944865828|1.7741669997883698|1.9217123247833419|1.8492132335085327|0.0040692406851397704|(1.825393431893404, 1.8730330351236615)
9|tauxDeMort75+ans|5.5487460577598435|5.434575755104261|5.432584425298502|5.610056425314263|5.626042492685461|5.409119980404697|5.534095067702192|5.401165090928934|5.728094022022682|5.396454582932527|5.155722741605355|5.462851779774475|5.262798727974996|5.563848554756412|5.104281758535554|5.650168409376818|5.238043742734327|5.199517961355666|5.693540653469416|5.696915414783754|5.478406628599463|5.3334604177446145|5.538013446933609|5.554204824810222|5.565248207616607|5.573579117403521|5.7771608214591925|5.6074637940036824|5.76453413013521|5.608708185199928|5.498313440614206|0.03200026691400213|(5.431516241635606, 5.565110639592808)
