|Champs|R1|R2|R3|R4|R5|R6|R7|R8|R9|R10|R11|R12|R13|R14|R15|R16|R17|R18|R19|R20|R21|R22|R23|R24|R25|R26|R27|R28|R29|R30|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|3129.0|3388.0|2910.0|2799.0|3265.0|3099.0|3103.0|3355.0|3143.0|3243.0|3201.0|3073.0|3230.0|3072.0|3309.0|3205.0|3105.0|3030.0|3224.0|3337.0|2832.0|2739.0|3018.0|3066.0|3054.0|3395.0|3267.0|3147.0|2929.0|3013.0|3122.6666666666665|28810.16091954023|(3059.2863662864856, 3186.0469670468474)
1|tauxDeMortCasConnu|1.214445509747523|1.0920897284533648|0.9621993127147767|1.3576277241872097|1.2863705972434916|1.2584704743465636|1.160167579761521|0.8643815201192251|1.5272033089405028|1.4184397163120568|1.4058106841611997|1.1064106736088513|1.3312693498452013|1.171875|1.0275007555152613|0.9984399375975039|1.3848631239935587|0.957095709570957|1.1786600496277915|1.1387473778843273|0.8121468926553672|1.095290251916758|0.9277667329357191|1.3372472276581866|1.309757694826457|1.0014727540500736|1.3161922252831344|1.207499205592628|1.4339364970979855|1.0952538997676735|1.1792877171804956|0.033869823201629574|(1.1105669631758204, 1.2480084711851713)
2|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
3|tauxDeMort15-25ans|0.0|0.0|0.0|0.2976190476190476|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00992063492063492|0.002952569916855631|(-0.010369341687824437, 0.030210611529094277)
4|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2898550724637681|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.00966183574879227|0.002800532101099209|(-0.010098837122055096, 0.029422508619639638)
5|tauxDeMort35-45ans|0.0|0.0|0.0|0.0|0.4750593824228029|0.0|0.0|0.0|0.0|0.7444168734491315|0.0|0.24813895781637718|0.0|0.2801120448179272|0.0|0.4889975550122249|0.0|0.0|0.49382716049382713|0.4796163069544364|0.2958579881656805|0.0|0.0|0.0|0.0|0.0|0.5063291139240507|0.2403846153846154|0.0|0.0|0.14175799994803578|0.04936949107214082|(0.058789970337479194, 0.2247260295585924)
6|tauxDeMort45-55ans|0.7109004739336493|0.4524886877828055|0.0|0.0|0.4464285714285714|0.5|0.2242152466367713|0.0|0.24449877750611246|0.0|0.7194244604316548|0.437636761487965|0.0|0.2518891687657431|0.44943820224719105|0.0|0.9523809523809524|0.5319148936170213|0.46728971962616817|0.2347417840375587|0.0|0.5617977528089888|0.25252525252525254|0.2570694087403599|0.0|0.45558086560364464|0.9569377990430622|0.0|0.2695417789757413|0.8174386920980926|0.33980464165591023|0.0880358614320927|(0.2290119125733383, 0.45059737073848216)
7|tauxDeMort55-65ans|0.7978723404255319|0.7228915662650602|1.36986301369863|0.5555555555555556|1.3054830287206265|1.4184397163120568|1.3262599469496021|0.48192771084337355|1.5915119363395225|1.3020833333333335|1.9277108433734942|1.3888888888888888|1.3186813186813187|0.7792207792207793|0.5277044854881267|0.9569377990430622|1.4044943820224718|0.7792207792207793|1.358695652173913|1.0660980810234542|1.0810810810810811|1.1235955056179776|0.2702702702702703|1.9073569482288828|0.8174386920980926|0.684931506849315|1.4285714285714286|0.5089058524173028|0.5952380952380952|1.06951871657754|1.0622149751509855|0.18125869408666592|(0.9032392281069935, 1.2211907221949776)
8|tauxDeMort65-75ans|2.7548209366391188|2.21606648199446|1.5527950310559007|3.343465045592705|1.7543859649122806|2.7472527472527473|2.8213166144200628|2.094240837696335|3.3232628398791544|2.34375|2.1505376344086025|2.083333333333333|2.525252525252525|2.0648967551622417|2.056555269922879|1.6|2.7700831024930745|1.529051987767584|3.1609195402298855|2.7247956403269753|1.3377926421404682|1.529051987767584|1.7751479289940828|3.3333333333333335|2.604166666666667|2.023121387283237|2.21606648199446|3.0136986301369864|2.4691358024691357|3.0555555555555554|2.365795090156046|0.3517943450296224|(2.1443194946342863, 2.5872706856778067)
9|tauxDeMort75+ans|7.0287539936102235|7.0588235294117645|6.61764705882353|8.955223880597014|8.653846153846153|7.446808510638298|7.191780821917808|5.775075987841945|9.523809523809524|9.698996655518394|8.150470219435736|7.421875|8.653846153846153|7.744107744107744|6.567164179104477|6.622516556291391|7.9470198675496695|7.08955223880597|6.405693950177936|6.191950464396285|5.323193916349809|7.480314960629922|7.905138339920949|7.4074074074074066|8.970099667774086|6.626506024096386|7.395498392282958|7.9470198675496695|10.580204778156997|5.263157894736842|7.521450124621168|1.5830975762063997|(7.051626021813673, 7.991274227428665)
10|nbRandomGenere|2203836119.0|2203850133.0|2203836427.0|2203820608.0|2203842778.0|2203834894.0|2203838620.0|2203855556.0|2203828805.0|2203835727.0|2203833125.0|2203836276.0|2203835951.0|2203836551.0|2203850849.0|2203843827.0|2203829458.0|2203840151.0|2203841372.0|2203846202.0|2203836729.0|2203824508.0|2203842111.0|2203832941.0|2203831056.0|2203852684.0|2203840450.0|2203836739.0|2203822061.0|2203837874.0|2203837686.0666666|69775883.85747127|(2203834566.9320087, 2203840805.2013245)
