Pays,Code,Date,NbHosp
France,FRA,2020-01-27,3
France,FRA,2020-01-28,4
France,FRA,2020-01-29,5
France,FRA,2020-01-30,6
France,FRA,2020-01-31,6
France,FRA,2020-02-02,6
France,FRA,2020-02-03,6
France,FRA,2020-02-04,6
France,FRA,2020-02-05,6
France,FRA,2020-02-06,6
France,FRA,2020-02-07,11
France,FRA,2020-02-08,11
France,FRA,2020-02-09,11
France,FRA,2020-02-10,11
France,FRA,2020-02-11,11
France,FRA,2020-02-12,11
France,FRA,2020-02-13,8
France,FRA,2020-02-15,7
France,FRA,2020-02-19,4
France,FRA,2020-02-20,11
France,FRA,2020-02-21,1
France,FRA,2020-02-23,1
France,FRA,2020-02-25,2
France,FRA,2020-02-26,4
France,FRA,2020-02-27,24
France,FRA,2020-02-29,86
France,FRA,2020-03-01,116
France,FRA,2020-03-15,400
France,FRA,2020-03-17,2579
France,FRA,2020-03-18,2972
France,FRA,2020-03-19,4073
France,FRA,2020-03-20,5226
France,FRA,2020-03-21,5900
France,FRA,2020-03-22,6954
France,FRA,2020-03-23,8673
France,FRA,2020-03-24,10163
France,FRA,2020-03-25,12072
France,FRA,2020-03-26,13879
France,FRA,2020-03-27,15701
France,FRA,2020-03-28,17580
France,FRA,2020-03-29,19311
France,FRA,2020-03-30,20946
France,FRA,2020-03-31,22672
France,FRA,2020-04-01,24543
France,FRA,2020-04-02,26131
France,FRA,2020-04-03,27302
France,FRA,2020-04-04,28003
France,FRA,2020-04-05,28747
France,FRA,2020-04-06,29569
France,FRA,2020-04-07,29871
France,FRA,2020-04-08,30217
France,FRA,2020-04-09,30608
France,FRA,2020-04-10,31108
France,FRA,2020-04-11,31159
France,FRA,2020-04-12,31665
France,FRA,2020-04-13,31952
France,FRA,2020-04-14,32131
France,FRA,2020-04-15,31623
France,FRA,2020-04-16,31172
France,FRA,2020-04-17,31061
France,FRA,2020-04-18,30515
France,FRA,2020-04-19,30486
France,FRA,2020-04-20,30462
France,FRA,2020-04-21,29984
France,FRA,2020-04-22,29627
France,FRA,2020-04-23,29113
France,FRA,2020-04-24,28554
France,FRA,2020-04-25,28119
France,FRA,2020-04-26,28114
France,FRA,2020-04-27,27954
France,FRA,2020-04-28,27607
France,FRA,2020-04-29,26736
France,FRA,2020-04-30,26192
France,FRA,2020-05-01,25809
France,FRA,2020-05-02,25751
France,FRA,2020-05-03,25739
France,FRA,2020-05-04,25472
France,FRA,2020-05-05,24701
France,FRA,2020-05-06,23912
France,FRA,2020-05-07,23139
France,FRA,2020-05-08,22657
France,FRA,2020-05-09,22547
France,FRA,2020-05-10,22502
France,FRA,2020-05-11,22219
France,FRA,2020-05-12,21530
France,FRA,2020-05-13,21009
France,FRA,2020-05-14,20401
France,FRA,2020-05-15,19801
France,FRA,2020-05-16,19372
France,FRA,2020-05-17,19302
