Pays,Code,Date,NbRea
France,FRA,2020-01-27,0
France,FRA,2020-01-28,1
France,FRA,2020-01-29,2
France,FRA,2020-01-30,2
France,FRA,2020-01-31,2
France,FRA,2020-02-02,1
France,FRA,2020-02-03,1
France,FRA,2020-02-04,1
France,FRA,2020-02-05,1
France,FRA,2020-02-07,1
France,FRA,2020-02-08,1
France,FRA,2020-02-09,1
France,FRA,2020-02-10,1
France,FRA,2020-02-12,1
France,FRA,2020-02-13,1
France,FRA,2020-02-27,2
France,FRA,2020-02-29,9
France,FRA,2020-03-01,9
France,FRA,2020-03-04,15
France,FRA,2020-03-05,23
France,FRA,2020-03-06,39
France,FRA,2020-03-07,45
France,FRA,2020-03-09,66
France,FRA,2020-03-10,86
France,FRA,2020-03-11,105
France,FRA,2020-03-12,129
France,FRA,2020-03-14,300
France,FRA,2020-03-17,699
France,FRA,2020-03-18,771
France,FRA,2020-03-19,1002
France,FRA,2020-03-20,1297
France,FRA,2020-03-21,1453
France,FRA,2020-03-22,1674
France,FRA,2020-03-23,2080
France,FRA,2020-03-24,2503
France,FRA,2020-03-25,2935
France,FRA,2020-03-26,3351
France,FRA,2020-03-27,3758
France,FRA,2020-03-28,4236
France,FRA,2020-03-29,4592
France,FRA,2020-03-30,5056
France,FRA,2020-03-31,5496
France,FRA,2020-04-01,5940
France,FRA,2020-04-02,6305
France,FRA,2020-04-03,6556
France,FRA,2020-04-04,6723
France,FRA,2020-04-05,6859
France,FRA,2020-04-06,6948
France,FRA,2020-04-07,7004
France,FRA,2020-04-08,7019
France,FRA,2020-04-09,6937
France,FRA,2020-04-10,6875
France,FRA,2020-04-11,6752
France,FRA,2020-04-12,6714
France,FRA,2020-04-13,6690
France,FRA,2020-04-14,6599
France,FRA,2020-04-15,6331
France,FRA,2020-04-16,6139
France,FRA,2020-04-17,5922
France,FRA,2020-04-18,5733
France,FRA,2020-04-19,5644
France,FRA,2020-04-20,5584
France,FRA,2020-04-21,5334
France,FRA,2020-04-22,5127
France,FRA,2020-04-23,4967
France,FRA,2020-04-24,4785
France,FRA,2020-04-25,4641
France,FRA,2020-04-26,4598
France,FRA,2020-04-27,4526
France,FRA,2020-04-28,4392
France,FRA,2020-04-29,4128
France,FRA,2020-04-30,3947
France,FRA,2020-05-01,3819
France,FRA,2020-05-02,3770
France,FRA,2020-05-03,3762
France,FRA,2020-05-04,3639
France,FRA,2020-05-05,3375
