|Champs|R1|R2|R3|R4|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|333122.0|331326.0|328080.0|335372.0|331975.0|9482481.333333334|(327075.04504655086, 336874.95495344914)
1|tauxDeMortCasConnu|1.1230119896014072|1.0545505031298479|1.1225920507193368|1.099972567775485|1.1000317778065192|0.0010352019666937733|(1.0488348815272281, 1.1512286740858102)
2|tauxMortalitePopulationGobale|0.265023863482602|0.24752562924571275|0.26091496637434464|0.26134002469588846|0.25870112094963693|5.891120416970769e-05|(0.24648790491474953, 0.27091433698452433)
3|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort15-25ans|0.050142907285764426|0.0513557929334429|0.0387086784857165|0.050227278434918005|0.04760866428496045|3.551008266283459e-05|(0.038126511890794704, 0.0570908166791262)
5|tauxDeMort25-35ans|0.12336929417014464|0.09507209633972429|0.09861144425788225|0.09591455827457487|0.10324184826058151|0.00018232958168599544|(0.0817556461295267, 0.12472805039163636)
6|tauxDeMort35-45ans|0.37267080745341613|0.36533934876422125|0.39617689298271674|0.38374663007310617|0.3794834198183651|0.0001811044803949278|(0.3580695239461839, 0.40089731569054626)
7|tauxDeMort45-55ans|0.5987610252631094|0.5808236719946948|0.5839449753035129|0.6048891415577032|0.5921047035297551|0.00013386377064317703|(0.5736943293141227, 0.6105150777453875)
8|tauxDeMort55-65ans|1.6099966804192158|1.4334454816850684|1.6017754619578328|1.6243104342496109|1.567382014577932|0.008059586259038076|(1.4245296402508563, 1.7102343889050078)
9|tauxDeMort65-75ans|2.342590629637481|2.2874245096467316|2.349462365591398|2.329551423468852|2.3272572320861156|0.0007733633751630886|(2.2830062524403543, 2.371508211731877)
10|tauxDeMort75+ans|5.307410996155409|4.917827907267387|5.291671916341187|5.046382189239332|5.140823252250829|0.036384278048029725|(4.837302793335853, 5.4443437111658035)
11|nbRandomGenere|1597796704.0|1597814709.0|1597125800.0|1598212016.0|1597737307.25|202936172980.91666|(1597020486.0810745, 1598454128.4189255)
