Département,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier
Ain,652 432,5 768 km²,113 h/km²,48.8%,4.9%,23 590 €/an,1 941 €/m²
Aisne,531 411,7 379 km²,72 h/km²,43.9%,7.7%,18 120 €/an,1 188 €/m²
Allier,335 975,7 336 km²,46 h/km²,42%,5.7%,19 972 €/an,1 028 €/m²
Alpes-de-Haute-Provence,164 308,6 929 km²,24 h/km²,43%,6.1%,15 450 €/an,1 897 €/m²
Alpes-Maritimes,1 094 283,4 295 km²,255 h/km²,44.8%,5.9%,18 822 €/an,3 103 €/m²
Ardèche,328 278,5 529 km²,59 h/km²,43.8%,6%,18 551 €/an,1 791 €/m²
Ardennes,270 582,5 221 km²,52 h/km²,44.1%,7.3%,15 403 €/an,1 228 €/m²
Ariège,153 287,4 898 km²,31 h/km²,43.3%,6.5%,13 794 €/an,1 297 €/m²
Aube,310 242,5 999 km²,52 h/km²,44.3%,7.1%,18 370 €/an,1 224 €/m²
Aude,374 070,6 133 km²,61 h/km²,41.7%,7.3%,13 852 €/an,1 345 €/m²
Aveyron,279 595,8 735 km²,32 h/km²,43.4%,4.1%,19 197 €/an,1 235 €/m²
Bas-Rhin,1 140 057,4 747 km²,240 h/km²,48.6%,5.7%,24 302 €/an,NC
Bouches-du-Rhône,2 043 110,5 094 km²,401 h/km²,43.8%,6.3%,24 532 €/an,3 463 €/m²
Calvados,692 999,5 531 km²,125 h/km²,45%,5.6%,21 335 €/an,1 843 €/m²
Cantal,144 692,5 724 km²,25 h/km²,44%,3.7%,16 732 €/an,1 104 €/m²
Charente,352 808,5 965 km²,59 h/km²,44.5%,6%,19 756 €/an,1 165 €/m²
Charente-Maritime,651 358,6 868 km²,95 h/km²,42.6%,6%,20 227 €/an,1 589 €/m²
Cher,302 306,7 245 km²,42 h/km²,43.6%,5.9%,19 689 €/an,1 062 €/m²
Corrèze,240 157,5 861 km²,41 h/km²,43.2%,4.6%,18 376 €/an,1 202 €/m²
Corse-du-sud,158 507,4 014 km²,39 h/km²,45.2%,5%,13 250 €/an,2 707 €/m²
Côte-d'or,535 050,8 772 km²,61 h/km²,46.6%,5.3%,17 410 €/an,1 360 €/m²
Côtes-d'armor,600 582,6 884 km²,87 h/km²,42.5%,4.9%,20 666 €/an,1 333 €/m²
Creuse,116 617,5 573 km²,21 h/km²,41.4%,5.1%,17 369 €/an,873 €/m²
Deux-Sèvres,374 878,5 997 km²,63 h/km²,45.6%,4.9%,20 190 €/an,1 039 €/m²
Dordogne,413 795,9 083 km²,46 h/km²,41.9%,5.7%,18 724 €/an,1 462 €/m²
Doubs,544 193,5 234 km²,104 h/km²,46.5%,5.6%,20 577 €/an,1 637 €/m²
Drôme,517 228,6 525 km²,79 h/km²,45.1%,6.2%,16 299 €/an,2 070 €/m²
Essonne,1 301 659,1 810 km²,719 h/km²,48.8%,5.4%,26 487 €/an,2 900 €/m²
Eure,599 522,6 008 km²,100 h/km²,46.3%,6.1%,22 153 €/an,1 670 €/m²
Eure-et-Loir,431 575,5 873 km²,73 h/km²,46.1%,5.6%,22 577 €/an,1 586 €/m²
Finistère,915 090,6 731 km²,136 h/km²,44.2%,5.3%,21 597 €/an,1 441 €/m²
Gard,748 437,5 852 km²,128 h/km²,42.7%,7.2%,19 851 €/an,2 053 €/m²
Gers,191 377,6 256 km²,31 h/km²,43.4%,4.7%,16 396 €/an,1 372 €/m²
Gironde,1 623 749,9 978 km²,163 h/km²,47.7%,6.1%,20 847 €/an,1 934 €/m²
Haut-Rhin,767 086,3 527 km²,217 h/km²,47.5%,6.4%,26 589 €/an,NC
Haute-corse,181 933,4 663 km²,39 h/km²,42.9%,5.4%,10 803 €/an,2 064 €/m²
Haute-Garonne,1 400 039,6 313 km²,222 h/km²,49.7%,6.2%,19 074 €/an,1 778 €/m²
Haute-Loire,227 570,4 975 km²,46 h/km²,44.6%,4.6%,16 886 €/an,1 130 €/m²
Haute-Marne,172 512,6 209 km²,28 h/km²,43.7%,5.7%,13 005 €/an,992 €/m²
Haute-Saône,235 313,5 355 km²,44 h/km²,44.6%,5.4%,17 298 €/an,1 118 €/m²
Haute-Savoie,826 094,4 390 km²,188 h/km²,51.4%,4.9%,29 235 €/an,3 509 €/m²
Haute-Vienne,372 359,5 526 km²,67 h/km²,43.3%,5.4%,20 169 €/an,1 149 €/m²
Hautes-Alpes,141 220,5 552 km²,25 h/km²,45.1%,4.6%,17 733 €/an,2 107 €/m²
Hautes-Pyrénées,229 567,4 468 km²,51 h/km²,42.7%,5.7%,13 703 €/an,1 472 €/m²
Hauts-de-Seine,1 624 357,178 km²,9 126 h/km²,51.9%,5.5%,30 002 €/an,6 218 €/m²
Hérault,1 175 623,6 106 km²,193 h/km²,43.9%,7.4%,19 739 €/an,2 088 €/m²
Ile-et-Vilaine,1 079 498,6 781 km²,159 h/km²,47.3%,4.9%,21 788 €/an,1 629 €/m²
Indre,219 316,6 789 km²,32 h/km²,42.4%,5.4%,19 087 €/an,1 059 €/m²
Indre-et-Loire,610 079,6 134 km²,99 h/km²,45.8%,5.7%,21 662 €/an,1 534 €/m²
Isère,1 271 166,7 439 km²,171 h/km²,47.2%,5.2%,22 540 €/an,2 094 €/m²
Jura,259 199,5 003 km²,52 h/km²,45.2%,4.6%,17 954 €/an,1 296 €/m²
Landes,413 690,9 248 km²,45 h/km²,44.4%,5.8%,20 529 €/an,1 729 €/m²
Loir-et-Cher,329 470,6 336 km²,52 h/km²,43.8%,5.2%,21 317 €/an,1 284 €/m²
Loire,765 634,4 784 km²,160 h/km²,43.5%,5.6%,21 313 €/an,1 493 €/m²
Loire-Atlantique,1 429 272,6 886 km²,208 h/km²,47.8%,5.3%,22 286 €/an,2 006 €/m²
Loiret,680 523,6 778 km²,100 h/km²,46.1%,5.9%,22 232 €/an,1 510 €/m²
Lot,174 094,5 227 km²,33 h/km²,42.3%,5.4%,18 752 €/an,1 514 €/m²
Lot-et-Garonne,331 271,5 358 km²,62 h/km²,42.8%,6%,19 539 €/an,1 373 €/m²
Lozère,76 604,5 167 km²,15 h/km²,44.2%,4.2%,15 747 €/an,1 382 €/m²
Maine-et-Loire,818 273,7 108 km²,115 h/km²,46.3%,5.5%,21 402 €/an,1 496 €/m²
Manche,575 661,6 019 km²,96 h/km²,44.3%,5%,19 895 €/an,1 391 €/m²
Marne,566 855,8 166 km²,69 h/km²,46.2%,6.1%,20 103 €/an,1 520 €/m²
Mayenne,307 718,5 222 km²,59 h/km²,45.2%,4.1%,20 523 €/an,1 138 €/m²
Meurthe-et-Moselle,733 760,5 234 km²,140 h/km²,45.5%,6.2%,19 169 €/an,1 294 €/m²
Meuse,184 083,6 201 km²,30 h/km²,44.6%,5.9%,14 265 €/an,958 €/m²
Morbihan,759 849,6 821 km²,111 h/km²,43.3%,5.2%,21 444 €/an,1 747 €/m²
Moselle,1 046 543,6 222 km²,168 h/km²,46.5%,6.1%,21 409 €/an,NC
Nièvre,204 452,6 818 km²,30 h/km²,40%,5.3%,17 409 €/an,990 €/m²
Nord,2 608 346,5 735 km²,455 h/km²,45.1%,7.7%,21 944 €/an,1 619 €/m²
Oise,829 419,5 863 km²,141 h/km²,47.1%,6.3%,22 894 €/an,1 879 €/m²
Orne,279 942,6 103 km²,46 h/km²,42.3%,5.4%,18 299 €/an,1 241 €/m²
Paris,2 165 423,105 km²,20 623 h/km²,54.4%,6.2%,28 570 €/an,10 271 €/m²
Pas-de-Calais,1 465 278,6 664 km²,220 h/km²,43.7%,7.3%,20 160 €/an,1 447 €/m²
Puy-de-Dôme,662 152,7 964 km²,83 h/km²,45.6%,5.5%,20 114 €/an,1 304 €/m²
Pyrénées-Atlantiques,682 621,7 642 km²,89 h/km²,45.3%,5.3%,19 721 €/an,1 617 €/m²
Pyrénées-Orientales,479 979,4 117 km²,117 h/km²,40.3%,7.7%,15 452 €/an,1 832 €/m²
Rhône,1 875 747,3 251 km²,577 h/km²,47.7%,5.8%,24 636 €/an,2 551 €/m²
Saône-et-Loire,551 493,8 580 km²,64 h/km²,43.5%,5.2%,19 955 €/an,1 324 €/m²
Sarthe,566 412,6 203 km²,91 h/km²,44.9%,5.6%,20 418 €/an,1 231 €/m²
Savoie,436 434,6 030 km²,72 h/km²,47.9%,4.3%,23 187 €/an,2 418 €/m²
Seine-et-Marne,1 421 197,5 904 km²,241 h/km²,49.4%,5.6%,24 710 €/an,2 328 €/m²
Seine-Maritime,1 255 633,6 267 km²,200 h/km²,45.2%,6.8%,21 815 €/an,1 648 €/m²
Seine-Saint-Denis,1 644 903,234 km²,7 030 h/km²,47.8%,8.5%,19 247 €/an,3 718 €/m²
Somme,570 559,6 175 km²,92 h/km²,44.7%,6.9%,19 019 €/an,1 356 €/m²
Tarn,389 844,5 757 km²,68 h/km²,43.1%,5.8%,18 599 €/an,1 401 €/m²
Tarn-et-Garonne,260 669,3 712 km²,70 h/km²,44.2%,6.1%,19 025 €/an,1 497 €/m²
Territoire de Belfort,141 318,614 km²,230 h/km²,46.2%,6.7%,24 243 €/an,1 588 €/m²
Val-d'oise,1 249 674,1 250 km²,1 000 h/km²,48.4%,6.3%,25 286 €/an,2 976 €/m²
Val-de-Marne,1 407 124,242 km²,5 815 h/km²,49.9%,6.2%,24 531 €/an,4 463 €/m²
Var,1 076 711,5 974 km²,180 h/km²,42.5%,6.1%,21 142 €/an,3 011 €/m²
Vaucluse,561 469,3 575 km²,157 h/km²,44%,7.1%,20 306 €/an,2 683 €/m²
Vendée,686 113,6 725 km²,102 h/km²,44.6%,4.7%,20 989 €/an,1 531 €/m²
Vienne,438 435,6 994 km²,63 h/km²,44.5%,5.5%,20 274 €/an,1 128 €/m²
Vosges,364 499,5 873 km²,62 h/km²,44.4%,6.5%,16 846 €/an,1 047 €/m²
Yonne,335 707,7 443 km²,45 h/km²,43.6%,5.9%,19 284 €/an,1 146 €/m²
Yvelines,1 448 207,2 281 km²,635 h/km²,48.5%,5%,28 979 €/an,3 149 €/m²
