Nb habitants,652 432,Classement
Age moyen,57 ans,Classement
Pop active,48.8%,Classement
Taux chômage,4.9%,Classement
Pop densité,113 h/km²,Classement
Revenu moyen,23 590 €/an,Classement
Agressions physiques / sexuelles,2 528
Cambriolages,1 433
Vols / dégradations,4 006
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Bourg-en-Bresse,41 111,24 km²,1 713 h/km²,42.6%,7.6%,19 290 €/an,1 627 €/m²,3.5
Oyonnax,22 456,36 km²,624 h/km²,43.2%,7.5%,17 510 €/an,1 436 €/m²,2.7
Valserhône,16 378,63 km²,260 h/km²,49.8%,7.7%,22 440 €/an,2 015 €/m²,2.2
Ambérieu-en-Bugey,14 134,25 km²,565 h/km²,48.8%,7.2%,20 510 €/an,2 005 €/m²,3.9
Gex,13 121,32 km²,410 h/km²,59.4%,6.3%,33 070 €/an,3 874 €/m²,4.0
Saint-Genis-Pouilly,13 943,10 km²,1 394 h/km²,54.1%,5.5%,29 370 €/an,4 098 €/m²,2.9
Miribel,10 122,24 km²,422 h/km²,48.2%,4.3%,24 860 €/an,2 839 €/m²,3.2
Ferney-Voltaire,10 026,5 km²,2 005 h/km²,53.5%,7.3%,26 770 €/an,3 974 €/m²,4.0
Divonne-les-Bains,9 951,34 km²,293 h/km²,51%,5.6%,44 820 €/an,5 351 €/m²,3.5
Belley,9 182,22 km²,417 h/km²,43.9%,7.2%,20 030 €/an,1 616 €/m²,3.0
Prévessin-Moëns,8 711,12 km²,726 h/km²,53.1%,5.4%,41 270 €/an,4 643 €/m²,4.2
Meximieux,7 923,14 km²,566 h/km²,48.6%,4.8%,23 280 €/an,2 223 €/m²,4.0
Montluel,6 886,40 km²,172 h/km²,48.8%,4.9%,22 780 €/an,2 208 €/m²,3.9
Lagnieu,7 161,27 km²,265 h/km²,47.4%,6%,22 490 €/an,1 866 €/m²,3.8
Trévoux,6 920,6 km²,1 153 h/km²,49.4%,5.1%,22 100 €/an,2 532 €/m²,3.6
