Nb habitants,531 411,Classement
Age moyen,57 ans,Classement
Pop active,43.9%,Classement
Taux chômage,7.7%,Classement
Pop densité,72 h/km²,Classement
Revenu moyen,18 120 €/an,Classement
Agressions physiques / sexuelles,3 506
Cambriolages,572
Vols / dégradations,2 937
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Saint-Quentin,53 570,23 km²,2 329 h/km²,40.7%,10%,17 630 €/an,1 072 €/m²,3.1
Soissons,28 712,12 km²,2 393 h/km²,39.9%,10.5%,17 600 €/an,1 621 €/m²,3.3
Laon,24 304,42 km²,579 h/km²,41.3%,10.5%,17 440 €/an,1 160 €/m²,3.0
Château-Thierry,15 254,17 km²,897 h/km²,42.8%,9.7%,18 310 €/an,1 683 €/m²,3.4
Tergnier,13 588,18 km²,755 h/km²,41.6%,10.5%,17 920 €/an,979 €/m²,2.9
Chauny,11 653,13 km²,896 h/km²,41.4%,10.5%,17 730 €/an,1 173 €/m²,3.9
Villers-Cotterêts,10 424,42 km²,248 h/km²,47.9%,8.9%,19 610 €/an,1 745 €/m²,3.2
Hirson,8 710,34 km²,256 h/km²,38.6%,11.8%,15 910 €/an,824 €/m²,2.3
Bohain-en-Vermandois,5 686,32 km²,178 h/km²,36.2%,11.5%,15 180 €/an,643 €/m²,2.4
Gauchy,5 235,6 km²,873 h/km²,42.4%,6.6%,19 710 €/an,1 141 €/m²,3.8
Guise,4 645,16 km²,290 h/km²,38.8%,11.2%,16 440 €/an,933 €/m²,3.7
Belleu,3 832,5 km²,766 h/km²,40.6%,7.5%,19 650 €/an,1 449 €/m²,-
Saint-Michel,3 314,42 km²,79 h/km²,41.9%,8.9%,17 590 €/an,975 €/m²,-
Fère-en-Tardenois,3 001,20 km²,150 h/km²,41.7%,10.5%,18 160 €/an,1 155 €/m²,-
Fresnoy-le-Grand,2 958,15 km²,197 h/km²,40.6%,8.3%,17 980 €/an,1 091 €/m²,4.0
