Nb habitants,335 975,Classement
Age moyen,58 ans,Classement
Pop active,42%,Classement
Taux chômage,5.7%,Classement
Pop densité,46 h/km²,Classement
Revenu moyen,19 972 €/an,Classement
Agressions physiques / sexuelles,1 835
Cambriolages,409
Vols / dégradations,1 710
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Montluçon,34 361,21 km²,1 636 h/km²,41.8%,8.2%,18 940 €/an,916 €/m²,3.1
Vichy,24 980,6 km²,4 163 h/km²,35.3%,7.9%,19 480 €/an,1 427 €/m²,3.6
Moulins,19 246,9 km²,2 138 h/km²,44.1%,8.1%,19 060 €/an,1 349 €/m²,3.2
Yzeure,12 838,43 km²,299 h/km²,41.4%,4.9%,22 290 €/an,1 321 €/m²,3.4
Cusset,12 474,32 km²,390 h/km²,41%,7.1%,19 880 €/an,1 213 €/m²,3.8
Domérat,8 729,36 km²,242 h/km²,39.5%,4.7%,21 930 €/an,1 016 €/m²,3.8
Bellerive-sur-Allier,8 741,19 km²,460 h/km²,36.5%,5.4%,22 060 €/an,1 600 €/m²,3.7
Commentry,6 132,21 km²,292 h/km²,39.6%,7.2%,19 610 €/an,878 €/m²,2.6
Gannat,5 830,37 km²,158 h/km²,42.1%,6.4%,19 580 €/an,1 183 €/m²,3.6
Saint-Pourçain-sur-Sioule,5 221,36 km²,145 h/km²,39.7%,6.4%,20 220 €/an,1 203 €/m²,4.0
Désertines,4 459,8 km²,557 h/km²,41.6%,5.4%,21 100 €/an,1 158 €/m²,4.4
Avermes,3 953,16 km²,247 h/km²,43.7%,3.8%,22 330 €/an,1 446 €/m²,3.6
Saint-Germain-des-Fossés,3 654,8 km²,457 h/km²,42%,5.6%,19 180 €/an,1 106 €/m²,3.8
Varennes-sur-Allier,3 618,24 km²,151 h/km²,40.2%,6%,19 550 €/an,892 €/m²,2.4
Creuzier-le-Vieux,3 297,11 km²,300 h/km²,45.1%,3.9%,24 080 €/an,1 493 €/m²,-
