Nb habitants,1 094 283,Classement
Age moyen,57 ans,Classement
Pop active,44.8%,Classement
Taux chômage,5.9%,Classement
Pop densité,255 h/km²,Classement
Revenu moyen,18 822 €/an,Classement
Agressions physiques / sexuelles,12 501
Cambriolages,3 379
Vols / dégradations,20 155
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Nice,342 669,72 km²,4 759 h/km²,43%,6.5%,20 530 €/an,4 103 €/m²,3.4
Antibes,73 438,26 km²,2 825 h/km²,45.5%,6.2%,23 260 €/an,4 515 €/m²,3.6
Cannes,74 545,20 km²,3 727 h/km²,40.8%,7.2%,20 340 €/an,4 874 €/m²,3.6
Grasse,48 870,44 km²,1 111 h/km²,46.6%,6.8%,22 050 €/an,2 817 €/m²,3.0
Cagnes-sur-Mer,52 178,18 km²,2 899 h/km²,45.2%,5.6%,22 870 €/an,4 196 €/m²,3.3
Le Cannet,41 887,8 km²,5 236 h/km²,43.6%,6.3%,21 120 €/an,3 445 €/m²,3.7
Saint-Laurent-du-Var,29 169,10 km²,2 917 h/km²,48.1%,5.5%,23 440 €/an,4 170 €/m²,3.6
Menton,30 525,14 km²,2 180 h/km²,44.8%,6.2%,21 820 €/an,4 341 €/m²,3.0
Vallauris,27 364,13 km²,2 105 h/km²,41.7%,6.8%,20 870 €/an,4 126 €/m²,3.1
Mandelieu-la-Napoule,21 998,31 km²,710 h/km²,44.6%,6.2%,23 310 €/an,4 430 €/m²,4.0
Mougins,19 982,26 km²,769 h/km²,49.7%,5.3%,25 910 €/an,4 785 €/m²,4.2
Vence,18 940,39 km²,486 h/km²,44.3%,5.3%,23 530 €/an,3 816 €/m²,3.6
Villeneuve-Loubet,16 285,20 km²,814 h/km²,50%,5.6%,25 400 €/an,5 175 €/m²,3.7
Beausoleil,13 358,3 km²,4 453 h/km²,51.1%,4.7%,21 580 €/an,6 013 €/m²,0.0
Valbonne,13 486,19 km²,710 h/km²,47.9%,5%,27 460 €/an,4 473 €/m²,4.5
