Nb habitants,164 308,Classement
Age moyen,58 ans,Classement
Pop active,43%,Classement
Taux chômage,6.1%,Classement
Pop densité,24 h/km²,Classement
Revenu moyen,15 450 €/an,Classement
Agressions physiques / sexuelles,986
Cambriolages,314
Vols / dégradations,1 290
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Manosque,22 528,57 km²,395 h/km²,42.4%,7.2%,20 060 €/an,2 064 €/m²,2.8
Digne-les-Bains,16 482,117 km²,141 h/km²,38.8%,5.8%,20 390 €/an,1 627 €/m²,3.5
Sisteron,7 595,50 km²,152 h/km²,42.3%,6.8%,19 810 €/an,1 652 €/m²,2.9
Oraison,5 867,38 km²,154 h/km²,41.8%,6.1%,22 120 €/an,2 135 €/m²,2.2
Château-Arnoux-Saint-Auban,5 089,18 km²,283 h/km²,41.2%,7.5%,20 180 €/an,1 744 €/m²,-
Forcalquier,5 121,43 km²,119 h/km²,39.1%,7.2%,19 390 €/an,2 331 €/m²,3.3
Villeneuve,4 323,26 km²,166 h/km²,47.7%,5.3%,22 000 €/an,2 306 €/m²,-
Les Mées,3 751,65 km²,58 h/km²,44.3%,7.7%,19 840 €/an,2 048 €/m²,2.6
Pierrevert,3 905,28 km²,139 h/km²,43.2%,4.2%,26 410 €/an,2 490 €/m²,-
Sainte-Tulle,3 442,17 km²,202 h/km²,47.3%,8.7%,21 350 €/an,1 974 €/m²,2.8
Valensole,3 173,128 km²,25 h/km²,44.6%,5.4%,21 270 €/an,2 164 €/m²,3.3
Volx,3 206,20 km²,160 h/km²,43.9%,6.2%,21 990 €/an,2 130 €/m²,-
Peyruis,2 813,23 km²,122 h/km²,45.8%,5%,20 620 €/an,1 710 €/m²,1.8
Gréoux-les-Bains,2 639,69 km²,38 h/km²,41.3%,6.3%,21 510 €/an,2 644 €/m²,3.5
Barcelonnette,2 564,16 km²,160 h/km²,46.9%,5.1%,19 630 €/an,2 059 €/m²,3.7
