Nb habitants,328 278,Classement
Age moyen,58 ans,Classement
Pop active,43.8%,Classement
Taux chômage,6%,Classement
Pop densité,59 h/km²,Classement
Revenu moyen,18 551 €/an,Classement
Agressions physiques / sexuelles,1 127
Cambriolages,296
Vols / dégradations,1 454
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Annonay,16 297,21 km²,776 h/km²,40.4%,8.1%,19 080 €/an,1 269 €/m²,2.8
Aubenas,12 479,14 km²,891 h/km²,41.3%,9.4%,18 680 €/an,1 595 €/m²,3.3
Guilherand-Granges,10 756,7 km²,1 537 h/km²,44%,4.5%,23 110 €/an,2 112 €/m²,4.4
Tournon-sur-Rhône,10 622,21 km²,506 h/km²,44%,6.8%,20 990 €/an,1 781 €/m²,3.7
Le Teil,8 832,27 km²,327 h/km²,43%,8.6%,19 060 €/an,1 644 €/m²,3.1
Privas,8 465,12 km²,705 h/km²,39.1%,6.5%,19 910 €/an,1 456 €/m²,3.9
Saint-Péray,7 580,24 km²,316 h/km²,44.6%,3.9%,24 470 €/an,2 537 €/m²,4.1
Bourg-Saint-Andéol,7 187,44 km²,163 h/km²,40.5%,7.5%,19 620 €/an,1 387 €/m²,3.1
La Voulte-sur-Rhône,4 848,10 km²,485 h/km²,42%,6.4%,19 180 €/an,1 573 €/m²,3.5
Viviers,3 689,34 km²,109 h/km²,44.8%,6.3%,20 900 €/an,1 831 €/m²,3.4
Vals-les-Bains,3 530,19 km²,186 h/km²,38.1%,8.7%,19 530 €/an,1 638 €/m²,4.1
Davézieux,3 168,6 km²,528 h/km²,41.3%,4.7%,22 830 €/an,1 968 €/m²,3.7
Chomérac,3 015,19 km²,159 h/km²,45.2%,3.6%,22 610 €/an,1 982 €/m²,2.8
Le Cheylard,2 877,13 km²,221 h/km²,38.5%,5%,20 950 €/an,1 177 €/m²,4.3
Cruas,3 063,15 km²,204 h/km²,47.2%,6.1%,21 700 €/an,1 572 €/m²,3.8
