Nb habitants,310 242,Classement
Age moyen,57 ans,Classement
Pop active,44.3%,Classement
Taux chômage,7.1%,Classement
Pop densité,52 h/km²,Classement
Revenu moyen,18 370 €/an,Classement
Agressions physiques / sexuelles,2 372
Cambriolages,377
Vols / dégradations,2 316
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Troyes,61 957,13 km²,4 766 h/km²,43.9%,10.5%,17 790 €/an,1 483 €/m²,3.4
Romilly-sur-Seine,14 480,25 km²,579 h/km²,39.8%,10.6%,17 030 €/an,1 023 €/m²,3.3
La Chapelle-Saint-Luc,11 741,10 km²,1 174 h/km²,39.1%,11.4%,15 600 €/an,1 487 €/m²,3.4
Saint-André-les-Vergers,12 784,6 km²,2 131 h/km²,44.3%,7%,20 270 €/an,1 540 €/m²,3.7
Sainte-Savine,10 508,8 km²,1 314 h/km²,46.5%,7.9%,20 720 €/an,1 662 €/m²,3.7
Saint-Julien-les-Villas,6 765,5 km²,1 353 h/km²,44.2%,6.8%,21 480 €/an,1 552 €/m²,3.5
Nogent-sur-Seine,5 966,20 km²,298 h/km²,45.8%,9.1%,19 790 €/an,1 516 €/m²,4.3
Bar-sur-Aube,4 787,16 km²,299 h/km²,40.3%,9.1%,18 630 €/an,1 073 €/m²,4.5
Pont-Sainte-Marie,5 154,4 km²,1 289 h/km²,41.3%,7.8%,18 910 €/an,1 658 €/m²,-
Rosières-près-Troyes,4 521,6 km²,754 h/km²,44.5%,4.9%,22 870 €/an,2 028 €/m²,3.7
Aix-Villemaur-Pâlis,3 546,75 km²,47 h/km²,40%,8%,19 770 €/an,1 058 €/m²,2.3
Les Noës-près-Troyes,3 280,1 km²,3 280 h/km²,39.6%,7.7%,18 200 €/an,1 816 €/m²,3.7
La Rivière-de-Corps,3 591,7 km²,513 h/km²,42.4%,4.3%,23 990 €/an,1 907 €/m²,3.9
Saint-Parres-aux-Tertres,3 167,12 km²,264 h/km²,41%,4.9%,22 590 €/an,1 934 €/m²,4.2
Bar-sur-Seine,2 961,28 km²,106 h/km²,40.3%,7.6%,18 430 €/an,1 049 €/m²,3.3
