Nb habitants,374 070,Classement
Age moyen,58 ans,Classement
Pop active,41.7%,Classement
Taux chômage,7.3%,Classement
Pop densité,61 h/km²,Classement
Revenu moyen,13 852 €/an,Classement
Agressions physiques / sexuelles,2 367
Cambriolages,857
Vols / dégradations,3 759
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Narbonne,55 516,173 km²,321 h/km²,40.7%,8.6%,18 890 €/an,2 076 €/m²,3.0
Carcassonne,46 825,65 km²,720 h/km²,42.6%,9.4%,18 450 €/an,1 350 €/m²,2.8
Lézignan-Corbières,11 317,38 km²,298 h/km²,36.1%,7.4%,18 220 €/an,1 361 €/m²,2.8
Castelnaudary,12 187,48 km²,254 h/km²,44.9%,6.4%,18 750 €/an,1 453 €/m²,3.3
Limoux,10 012,32 km²,313 h/km²,38.1%,7.1%,19 150 €/an,1 325 €/m²,3.5
Coursan,5 825,25 km²,233 h/km²,42%,7.4%,19 530 €/an,1 547 €/m²,1.8
Port-la-Nouvelle,5 795,29 km²,200 h/km²,35.2%,7.7%,18 760 €/an,2 094 €/m²,2.8
Trèbes,5 502,16 km²,344 h/km²,36.5%,7.1%,18 270 €/an,1 124 €/m²,2.8
Sigean,5 533,35 km²,158 h/km²,39.9%,7.7%,19 580 €/an,1 883 €/m²,2.8
Gruissan,5 087,44 km²,116 h/km²,37.5%,6.8%,20 110 €/an,2 974 €/m²,3.3
Leucate,4 612,24 km²,192 h/km²,34.8%,7.8%,20 790 €/an,2 668 €/m²,4.1
Villemoustaussou,4 469,12 km²,372 h/km²,44.3%,5.2%,22 550 €/an,1 604 €/m²,3.9
Cuxac-d'Aude,4 033,22 km²,183 h/km²,40.1%,7.6%,19 260 €/an,1 552 €/m²,1.9
Fleury,3 758,51 km²,74 h/km²,37.1%,7.9%,19 940 €/an,2 628 €/m²,3.2
Quillan,3 212,35 km²,92 h/km²,35.7%,8.4%,17 860 €/an,998 €/m²,2.8
