Nb habitants,279 595,Classement
Age moyen,58 ans,Classement
Pop active,43.4%,Classement
Taux chômage,4.1%,Classement
Pop densité,32 h/km²,Classement
Revenu moyen,19 197 €/an,Classement
Agressions physiques / sexuelles,1 027
Cambriolages,156
Vols / dégradations,812
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Rodez,24 475,11 km²,2 225 h/km²,45.6%,5.5%,21 090 €/an,1 684 €/m²,3.0
Millau,21 979,168 km²,131 h/km²,42.4%,5.8%,20 010 €/an,1 434 €/m²,3.6
Onet-le-Château,11 665,40 km²,292 h/km²,45.2%,4.3%,21 330 €/an,1 681 €/m²,-
Villefranche-de-Rouergue,11 602,46 km²,252 h/km²,37.1%,6.1%,19 950 €/an,1 497 €/m²,3.3
Saint-Affrique,8 023,111 km²,72 h/km²,43%,4.9%,20 600 €/an,1 604 €/m²,4.3
Luc-la-Primaube,6 005,27 km²,222 h/km²,47.9%,2.8%,23 160 €/an,1 954 €/m²,3.8
Decazeville,5 323,14 km²,380 h/km²,35.1%,7.7%,18 560 €/an,1 055 €/m²,2.3
Espalion,4 601,37 km²,124 h/km²,40.7%,2.6%,21 050 €/an,1 419 €/m²,3.9
Capdenac-Gare,4 419,20 km²,221 h/km²,43.3%,5.2%,20 150 €/an,1 103 €/m²,-
Sévérac d'Aveyron,4 069,209 km²,19 h/km²,42.6%,3.9%,20 600 €/an,2 000 €/m²,3.9
Aubin,3 741,27 km²,139 h/km²,37.1%,6%,19 640 €/an,1 006 €/m²,1.4
Olemps,3 439,13 km²,265 h/km²,45.6%,2.3%,23 760 €/an,1 699 €/m²,4.4
Sébazac-Concourès,3 256,26 km²,125 h/km²,45.9%,2.7%,24 080 €/an,2 125 €/m²,3.0
Baraqueville,3 150,34 km²,93 h/km²,49%,3.8%,21 760 €/an,1 389 €/m²,-
Druelle Balsac,3 205,51 km²,63 h/km²,49.2%,2.9%,24 910 €/an,2 241 €/m²,-
