Nb habitants,2 043 110,Classement
Age moyen,56 ans,Classement
Pop active,43.8%,Classement
Taux chômage,6.3%,Classement
Pop densité,401 h/km²,Classement
Revenu moyen,24 532 €/an,Classement
Agressions physiques / sexuelles,25 953
Cambriolages,11 610
Vols / dégradations,55 246
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Marseille,870 731,241 km²,3 613 h/km²,41.9%,7.1%,19 370 €/an,2 765 €/m²,2.6
Aix-en-Provence,145 133,186 km²,780 h/km²,46.4%,5.9%,24 590 €/an,4 372 €/m²,3.6
Arles,50 454,759 km²,66 h/km²,39.4%,6.2%,18 990 €/an,2 547 €/m²,3.0
Martigues,48 574,71 km²,684 h/km²,43.9%,6.8%,21 630 €/an,3 087 €/m²,3.6
Aubagne,47 535,55 km²,864 h/km²,44.3%,6.3%,21 300 €/an,3 046 €/m²,3.2
Salon-de-Provence,45 386,70 km²,648 h/km²,46.1%,6.9%,21 150 €/an,2 627 €/m²,3.8
Istres,43 626,114 km²,383 h/km²,46.9%,5.7%,21 910 €/an,2 623 €/m²,3.2
La Ciotat,35 993,31 km²,1 161 h/km²,42.6%,5.8%,22 280 €/an,4 293 €/m²,3.4
Vitrolles,33 333,37 km²,901 h/km²,44.6%,6.5%,21 000 €/an,2 864 €/m²,2.9
Marignane,32 384,23 km²,1 408 h/km²,44.4%,6.4%,20 780 €/an,2 533 €/m²,3.5
Miramas,26 428,26 km²,1 016 h/km²,42%,6.8%,18 890 €/an,2 507 €/m²,3.2
Les Pennes-Mirabeau,21 623,34 km²,636 h/km²,44.1%,3.9%,25 040 €/an,3 457 €/m²,3.9
Allauch,21 372,50 km²,427 h/km²,46.8%,4.4%,26 190 €/an,3 731 €/m²,3.4
Gardanne,21 521,27 km²,797 h/km²,46.3%,5.6%,21 820 €/an,3 323 €/m²,2.9
Port-de-Bouc,16 651,11 km²,1 514 h/km²,40.1%,8.1%,19 060 €/an,2 376 €/m²,2.3
