Nb habitants,692 999,Classement
Age moyen,56 ans,Classement
Pop active,45%,Classement
Taux chômage,5.6%,Classement
Pop densité,125 h/km²,Classement
Revenu moyen,21 335 €/an,Classement
Agressions physiques / sexuelles,4 506
Cambriolages,404
Vols / dégradations,4 561
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Caen,106 230,26 km²,4 086 h/km²,43.7%,7.9%,20 770 €/an,2 431 €/m²,3.7
Hérouville-Saint-Clair,22 555,11 km²,2 050 h/km²,44.9%,8.8%,18 250 €/an,1 881 €/m²,3.6
Lisieux,20 038,13 km²,1 541 h/km²,42.3%,9.2%,18 480 €/an,1 388 €/m²,2.6
Vire Normandie,16 590,139 km²,119 h/km²,41.7%,4.8%,20 600 €/an,1 123 €/m²,2.9
Bayeux,12 682,7 km²,1 812 h/km²,41.4%,7.1%,20 250 €/an,1 837 €/m²,4.1
Ifs,11 696,9 km²,1 300 h/km²,46.2%,6.9%,21 370 €/an,2 297 €/m²,4.1
Mézidon Vallée d'Auge,9 586,103 km²,93 h/km²,45.3%,5.7%,19 920 €/an,1 513 €/m²,2.7
Mondeville,9 973,9 km²,1 108 h/km²,47.4%,6.4%,20 870 €/an,2 655 €/m²,4.3
Ouistreham,9 344,10 km²,934 h/km²,38%,4.9%,22 890 €/an,3 221 €/m²,3.6
Souleuvre en Bocage,8 950,187 km²,48 h/km²,46.6%,5%,20 500 €/an,1 091 €/m²,2.5
Falaise,7 968,12 km²,664 h/km²,42.5%,6.9%,19 490 €/an,3 704 €/m²,3.6
Saint-Pierre-en-Auge,7 329,145 km²,51 h/km²,42%,5.4%,19 650 €/an,1 382 €/m²,4.4
Honfleur,6 733,14 km²,481 h/km²,45%,7.7%,19 470 €/an,2 801 €/m²,3.6
Condé-en-Normandie,6 452,63 km²,102 h/km²,41.2%,7.4%,19 720 €/an,915 €/m²,2.9
Colombelles,6 976,7 km²,997 h/km²,47.5%,9.3%,18 480 €/an,2 082 €/m²,3.9
