Nb habitants,144 692,Classement
Age moyen,58 ans,Classement
Pop active,44%,Classement
Taux chômage,3.7%,Classement
Pop densité,25 h/km²,Classement
Revenu moyen,16 732 €/an,Classement
Agressions physiques / sexuelles,419
Cambriolages,36
Vols / dégradations,355
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Aurillac,25 593,29 km²,883 h/km²,44.1%,6%,20 940 €/an,1 182 €/m²,3.3
Saint-Flour,6 458,27 km²,239 h/km²,44.7%,5.2%,20 270 €/an,1 522 €/m²,3.3
Arpajon-sur-Cère,6 279,48 km²,131 h/km²,46.5%,2.8%,22 360 €/an,1 294 €/m²,4.2
Ytrac,4 335,38 km²,114 h/km²,46.8%,3.4%,23 100 €/an,1 738 €/m²,4.4
Mauriac,3 498,28 km²,125 h/km²,38.7%,3.7%,20 130 €/an,1 002 €/m²,3.2
Riom-ès-Montagnes,2 479,46 km²,54 h/km²,39.7%,3.5%,20 180 €/an,897 €/m²,-
Maurs,2 111,31 km²,68 h/km²,38.1%,2.8%,19 560 €/an,1 111 €/m²,4.2
Jussac,2 022,18 km²,112 h/km²,46%,2.5%,21 610 €/an,1 387 €/m²,5.0
Naucelles,2 113,12 km²,176 h/km²,46.3%,2.7%,23 410 €/an,1 522 €/m²,5.0
Murat,1 845,20 km²,92 h/km²,40%,2.6%,20 990 €/an,974 €/m²,5.0
Vic-sur-Cère,1 838,29 km²,63 h/km²,43%,3.5%,20 900 €/an,1 228 €/m²,-
Neussargues en Pinatelle,1 804,92 km²,20 h/km²,42.7%,4.2%,20 400 €/an,814 €/m²,3.8
Ydes,1 644,17 km²,97 h/km²,40.3%,3.9%,20 480 €/an,929 €/m²,3.4
Neuvéglise-sur-Truyère,1 735,125 km²,14 h/km²,45.2%,3.5%,20 350 €/an,1 103 €/m²,-
Massiac,1 797,35 km²,51 h/km²,42.2%,4.6%,20 650 €/an,954 €/m²,-
