Nb habitants,352 808,Classement
Age moyen,57 ans,Classement
Pop active,44.5%,Classement
Taux chômage,6%,Classement
Pop densité,59 h/km²,Classement
Revenu moyen,19 756 €/an,Classement
Agressions physiques / sexuelles,2 136
Cambriolages,489
Vols / dégradations,2 286
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Angoulême,41 603,22 km²,1 891 h/km²,47%,10.4%,19 120 €/an,1 433 €/m²,3.1
Cognac,18 670,16 km²,1 167 h/km²,47%,7.9%,21 000 €/an,1 411 €/m²,3.7
Soyaux,9 761,13 km²,751 h/km²,38.9%,8.9%,18 030 €/an,1 355 €/m²,3.3
La Couronne,7 764,29 km²,268 h/km²,44.4%,7.9%,20 260 €/an,1 358 €/m²,4.1
Ruelle-sur-Touvre,7 305,11 km²,664 h/km²,44.1%,5.3%,21 570 €/an,1 300 €/m²,3.7
Saint-Yrieix-sur-Charente,7 381,15 km²,492 h/km²,44.5%,5.1%,23 420 €/an,1 573 €/m²,-
Gond-Pontouvre,6 119,7 km²,874 h/km²,44.9%,7.2%,20 630 €/an,1 344 €/m²,2.9
L'Isle-d'Espagnac,5 626,6 km²,938 h/km²,43.1%,6.3%,21 360 €/an,1 431 €/m²,3.3
Champniers,5 149,45 km²,114 h/km²,47%,4.1%,24 100 €/an,1 513 €/m²,3.5
Barbezieux-Saint-Hilaire,4 714,27 km²,175 h/km²,39.9%,5.5%,19 330 €/an,1 156 €/m²,3.0
Jarnac,4 434,12 km²,370 h/km²,42.7%,7.1%,21 100 €/an,1 264 €/m²,4.0
Brie,4 233,34 km²,125 h/km²,55.4%,4.1%,22 950 €/an,1 503 €/m²,-
Roullet-Saint-Estèphe,4 277,42 km²,102 h/km²,49.3%,4.7%,22 140 €/an,1 398 €/m²,4.0
La Rochefoucauld-en-Angoumois,3 977,24 km²,166 h/km²,39.8%,6.3%,19 870 €/an,1 100 €/m²,-
Terres-de-Haute-Charente,3 900,87 km²,45 h/km²,42.6%,5.7%,19 180 €/an,921 €/m²,-
