Nb habitants,158 507,Classement
Age moyen,57 ans,Classement
Pop active,45.2%,Classement
Taux chômage,5%,Classement
Pop densité,39 h/km²,Classement
Revenu moyen,13 250 €/an,Classement
Agressions physiques / sexuelles,1 112
Cambriolages,91
Vols / dégradations,1 114
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Ajaccio,71 361,82 km²,870 h/km²,44.9%,4.4%,21 900 €/an,3 300 €/m²,3.5
Porto-Vecchio,11 132,169 km²,66 h/km²,45%,6.4%,19 700 €/an,4 820 €/m²,3.4
Bastelicaccia,4 124,18 km²,229 h/km²,50.5%,4.6%,25 740 €/an,3 814 €/m²,3.6
Propriano,3 699,19 km²,195 h/km²,43%,7.7%,18 250 €/an,3 603 €/m²,3.8
Sartène,3 248,200 km²,16 h/km²,43.3%,7.1%,19 620 €/an,3 316 €/m²,3.0
Alata,3 456,30 km²,115 h/km²,50.2%,3.5%,25 690 €/an,3 843 €/m²,-
Afa,3 229,12 km²,269 h/km²,50.7%,3.6%,25 920 €/an,3 801 €/m²,-
Bonifacio,3 192,138 km²,23 h/km²,44%,6.6%,20 270 €/an,5 989 €/m²,4.0
Grosseto-Prugna,3 402,32 km²,106 h/km²,47.6%,4%,25 070 €/an,4 849 €/m²,3.0
Zonza,2 759,134 km²,21 h/km²,45%,7.3%,20 950 €/an,5 010 €/m²,-
Sarrola-Carcopino,3 289,27 km²,122 h/km²,51.2%,4.8%,21 210 €/an,3 171 €/m²,-
Cuttoli-Corticchiato,2 017,30 km²,67 h/km²,46.8%,4.5%,23 190 €/an,2 600 €/m²,-
Peri,2 015,24 km²,84 h/km²,50.1%,4.9%,23 490 €/an,3 265 €/m²,4.2
Appietto,1 813,34 km²,53 h/km²,49.6%,4.5%,24 990 €/an,4 798 €/m²,-
Lecci,1 838,27 km²,68 h/km²,52.6%,8.3%,21 200 €/an,5 894 €/m²,2.2
