Nb habitants,535 050,Classement
Age moyen,55 ans,Classement
Pop active,46.6%,Classement
Taux chômage,5.3%,Classement
Pop densité,61 h/km²,Classement
Revenu moyen,17 410 €/an,Classement
Agressions physiques / sexuelles,3 264
Cambriolages,521
Vols / dégradations,4 576
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Dijon,158 002,40 km²,3 950 h/km²,47.1%,7%,21 830 €/an,2 183 €/m²,3.6
Beaune,20 551,31 km²,663 h/km²,46.6%,5.7%,21 570 €/an,2 181 €/m²,3.8
Chenôve,14 025,7 km²,2 004 h/km²,42.5%,7.7%,17 740 €/an,1 689 €/m²,3.3
Chevigny-Saint-Sauveur,11 123,12 km²,927 h/km²,47.6%,5.3%,22 490 €/an,2 001 €/m²,3.7
Talant,11 713,5 km²,2 343 h/km²,41.4%,6.1%,22 950 €/an,2 008 €/m²,3.2
Quetigny,9 099,8 km²,1 137 h/km²,43.3%,5.5%,21 520 €/an,1 816 €/m²,3.9
Longvic,8 545,11 km²,777 h/km²,47.4%,7%,21 170 €/an,1 895 €/m²,2.9
Fontaine-lès-Dijon,8 800,4 km²,2 200 h/km²,42.1%,3.3%,27 720 €/an,2 387 €/m²,4.2
Auxonne,7 614,41 km²,186 h/km²,46.3%,6.9%,19 980 €/an,1 179 €/m²,3.3
Saint-Apollinaire,7 546,10 km²,755 h/km²,48.1%,4%,24 290 €/an,2 470 €/m²,4.5
Nuits-Saint-Georges,5 362,21 km²,255 h/km²,46.6%,4.6%,21 980 €/an,2 013 €/m²,4.2
Châtillon-sur-Seine,5 347,33 km²,162 h/km²,36.8%,6.8%,18 990 €/an,1 053 €/m²,2.8
Genlis,5 231,12 km²,436 h/km²,48.3%,5.5%,21 560 €/an,1 890 €/m²,-
Montbard,4 848,46 km²,105 h/km²,40.3%,7.5%,19 230 €/an,1 243 €/m²,2.4
Marsannay-la-Côte,5 311,13 km²,409 h/km²,44.3%,4.2%,23 100 €/an,2 179 €/m²,4.0
