Nb habitants,600 582,Classement
Age moyen,58 ans,Classement
Pop active,42.5%,Classement
Taux chômage,4.9%,Classement
Pop densité,87 h/km²,Classement
Revenu moyen,20 666 €/an,Classement
Agressions physiques / sexuelles,2 446
Cambriolages,516
Vols / dégradations,2 999
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Saint-Brieuc,43 605,22 km²,1 982 h/km²,42.9%,7.6%,19 960 €/an,1 309 €/m²,3.4
Lannion,20 210,44 km²,459 h/km²,42.6%,7.2%,22 190 €/an,1 543 €/m²,3.6
Lamballe-Armor,16 688,131 km²,127 h/km²,44.1%,3.7%,22 390 €/an,1 668 €/m²,3.6
Plérin,14 309,28 km²,511 h/km²,43.4%,4.7%,23 950 €/an,2 000 €/m²,3.1
Ploufragan,11 383,27 km²,422 h/km²,43.2%,5.3%,21 290 €/an,1 473 €/m²,3.7
Dinan,14 407,9 km²,1 601 h/km²,40.9%,6.6%,22 190 €/an,2 016 €/m²,3.7
Loudéac,9 605,80 km²,120 h/km²,43.1%,5.9%,20 660 €/an,1 200 €/m²,3.7
Trégueux,8 459,15 km²,564 h/km²,40.6%,4.2%,21 990 €/an,1 628 €/m²,4.4
Langueux,7 801,9 km²,867 h/km²,47.7%,5%,22 980 €/an,1 729 €/m²,3.7
Perros-Guirec,7 089,14 km²,506 h/km²,32.4%,5%,24 850 €/an,2 541 €/m²,3.6
Paimpol,7 179,24 km²,299 h/km²,33%,5.5%,22 060 €/an,2 120 €/m²,3.4
Pordic,7 300,34 km²,215 h/km²,44.6%,3.8%,24 020 €/an,1 848 €/m²,3.7
Binic-Étables-sur-Mer,6 934,15 km²,462 h/km²,36.7%,3.9%,24 710 €/an,2 345 €/m²,3.8
Guingamp,7 069,3 km²,2 356 h/km²,41.7%,8.9%,17 460 €/an,1 185 €/m²,3.5
Plédran,6 839,35 km²,195 h/km²,48.2%,3.8%,21 530 €/an,1 437 €/m²,4.1
