Nb habitants,374 878,Classement
Age moyen,58 ans,Classement
Pop active,45.6%,Classement
Taux chômage,4.9%,Classement
Pop densité,63 h/km²,Classement
Revenu moyen,20 190 €/an,Classement
Agressions physiques / sexuelles,1 647
Cambriolages,323
Vols / dégradations,1 930
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Niort,59 193,68 km²,870 h/km²,46.9%,6.9%,22 080 €/an,1 563 €/m²,3.3
Bressuire,19 850,181 km²,110 h/km²,46.9%,5.5%,20 620 €/an,1 261 €/m²,4.0
Parthenay,10 089,11 km²,917 h/km²,41.8%,7.2%,19 340 €/an,1 066 €/m²,3.6
Thouars,13 886,81 km²,171 h/km²,41.2%,6.7%,19 360 €/an,982 €/m²,2.9
Mauléon,8 578,121 km²,71 h/km²,47%,3.6%,20 400 €/an,1 190 €/m²,4.0
Chauray,7 083,15 km²,472 h/km²,47%,3.2%,24 920 €/an,1 805 €/m²,3.9
Saint-Maixent-l'École,7 242,5 km²,1 448 h/km²,49%,6.2%,18 700 €/an,1 014 €/m²,3.4
Nueil-les-Aubiers,5 536,99 km²,56 h/km²,43.3%,4%,19 420 €/an,1 029 €/m²,3.6
La Crèche,5 820,35 km²,166 h/km²,48.4%,4.5%,23 990 €/an,1 399 €/m²,4.5
Aiffres,5 396,26 km²,208 h/km²,45.3%,3.7%,23 930 €/an,1 422 €/m²,4.5
Moncoutant-sur-Sèvre,5 057,93 km²,54 h/km²,43.8%,3.5%,19 870 €/an,953 €/m²,3.4
Aigondigné,4 677,70 km²,67 h/km²,50.7%,3%,22 740 €/an,1 270 €/m²,3.4
Cerizay,4 764,19 km²,251 h/km²,42.1%,6.7%,19 200 €/an,1 058 €/m²,4.8
Celles-sur-Belle,3 907,41 km²,95 h/km²,46.4%,5%,21 290 €/an,1 159 €/m²,4.4
Mellé,6 173,65 km²,95 h/km²,40.5%,5.1%,20 680 €/an,1 213 €/m²,3.7
