Nb habitants,413 795,Classement
Age moyen,58 ans,Classement
Pop active,41.9%,Classement
Taux chômage,5.7%,Classement
Pop densité,46 h/km²,Classement
Revenu moyen,18 724 €/an,Classement
Agressions physiques / sexuelles,2 014
Cambriolages,464
Vols / dégradations,1 830
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Périgueux,29 896,10 km²,2 990 h/km²,46%,8.6%,20 050 €/an,1 590 €/m²,3.4
Bergerac,26 693,56 km²,477 h/km²,38.9%,7.6%,19 090 €/an,1 401 €/m²,2.6
Boulazac Isle Manoire,10 737,56 km²,192 h/km²,47.3%,5.3%,22 100 €/an,1 590 €/m²,4.2
Sarlat-la-Canéda,8 816,47 km²,188 h/km²,42.4%,7.6%,20 330 €/an,1 804 €/m²,3.7
Coulounieix-Chamiers,7 387,22 km²,336 h/km²,39.9%,6.8%,20 520 €/an,1 298 €/m²,3.7
Trélissac,7 006,23 km²,305 h/km²,42.6%,4.6%,22 310 €/an,1 574 €/m²,3.7
Terrasson-Lavilledieu,6 266,39 km²,161 h/km²,40.5%,8.3%,18 630 €/an,1 274 €/m²,3.4
Saint-Astier,5 352,34 km²,157 h/km²,39%,4.9%,20 850 €/an,1 275 €/m²,2.9
Montpon-Ménestérol,5 704,46 km²,124 h/km²,34.5%,6.3%,19 610 €/an,1 268 €/m²,3.0
Notre-Dame-de-Sanilhac,4 604,60 km²,77 h/km²,46.9%,3.8%,22 590 €/an,1 863 €/m²,3.4
Bassillac et Auberoche,4 410,103 km²,43 h/km²,46.8%,3.3%,22 050 €/an,1 564 €/m²,3.8
Chancelade,4 378,16 km²,274 h/km²,41.9%,4.3%,22 220 €/an,1 688 €/m²,-
Prigonrieux,4 143,26 km²,159 h/km²,39.1%,5.3%,21 210 €/an,1 467 €/m²,3.3
Ribérac,3 844,23 km²,167 h/km²,36.2%,6.9%,19 230 €/an,1 259 €/m²,3.9
Brantôme en Périgord,3 670,133 km²,28 h/km²,42.2%,4.7%,20 920 €/an,1 519 €/m²,3.6
