Nb habitants,544 193,Classement
Age moyen,56 ans,Classement
Pop active,46.5%,Classement
Taux chômage,5.6%,Classement
Pop densité,104 h/km²,Classement
Revenu moyen,20 577 €/an,Classement
Agressions physiques / sexuelles,4 324
Cambriolages,436
Vols / dégradations,3 767
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Besançon,117 912,65 km²,1 814 h/km²,44.5%,7.4%,19 890 €/an,1 909 €/m²,3.5
Montbéliard,25 806,15 km²,1 720 h/km²,41%,8.8%,18 380 €/an,1 200 €/m²,3.3
Pontarlier,17 542,41 km²,428 h/km²,49.4%,6.5%,23 790 €/an,2 327 €/m²,3.8
Audincourt,13 341,9 km²,1 482 h/km²,41.3%,8.5%,18 000 €/an,1 259 €/m²,4.2
Valentigney,11 272,10 km²,1 127 h/km²,39.2%,8%,19 100 €/an,1 197 €/m²,4.6
Morteau,6 853,14 km²,490 h/km²,53.3%,6.6%,29 840 €/an,2 415 €/m²,4.1
Seloncourt,5 726,8 km²,716 h/km²,45.9%,6%,22 880 €/an,1 301 €/m²,3.4
Bethoncourt,5 441,7 km²,777 h/km²,35.4%,7.7%,16 920 €/an,1 299 €/m²,-
Grand-Charmont,5 786,5 km²,1 157 h/km²,37.9%,7.6%,18 530 €/an,1 354 €/m²,3.3
Valdahon,5 748,26 km²,221 h/km²,54.5%,4.9%,22 160 €/an,2 016 €/m²,3.7
Baume-les-Dames,4 989,25 km²,200 h/km²,42.6%,5.2%,20 530 €/an,1 484 €/m²,3.0
Mandeure,4 795,15 km²,320 h/km²,42.2%,7.5%,19 850 €/an,1 221 €/m²,3.6
Saint-Vit,4 922,16 km²,308 h/km²,46.5%,4.8%,22 480 €/an,1 813 €/m²,5.0
Villers-le-Lac,5 188,30 km²,173 h/km²,53.8%,6.7%,34 770 €/an,2 608 €/m²,-
Ornans,4 423,36 km²,123 h/km²,45.2%,5.5%,22 440 €/an,1 584 €/m²,3.9
