Nb habitants,517 228,Classement
Age moyen,58 ans,Classement
Pop active,45.1%,Classement
Taux chômage,6.2%,Classement
Pop densité,79 h/km²,Classement
Revenu moyen,16 299 €/an,Classement
Agressions physiques / sexuelles,3 733
Cambriolages,1 385
Vols / dégradations,6 020
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Valence,64 749,37 km²,1 750 h/km²,43.7%,7.5%,19 700 €/an,1 863 €/m²,3.3
Montélimar,39 818,47 km²,847 h/km²,43.4%,7.6%,20 080 €/an,1 740 €/m²,3.2
Romans-sur-Isère,33 098,33 km²,1 003 h/km²,43.3%,8.2%,19 400 €/an,1 596 €/m²,2.7
Bourg-lès-Valence,19 792,20 km²,990 h/km²,44.2%,6.5%,20 980 €/an,1 743 €/m²,3.9
Pierrelatte,13 510,50 km²,270 h/km²,43.3%,8%,19 340 €/an,1 792 €/m²,3.7
Bourg-de-Péage,9 957,14 km²,711 h/km²,45.3%,7.5%,20 200 €/an,1 984 €/m²,4.8
Portes-lès-Valence,10 680,14 km²,763 h/km²,45.5%,7.2%,20 630 €/an,1 898 €/m²,3.4
Saint-Paul-Trois-Châteaux,8 736,22 km²,397 h/km²,43%,6.1%,22 810 €/an,1 733 €/m²,3.8
Livron-sur-Drôme,9 202,40 km²,230 h/km²,47.1%,5.3%,21 140 €/an,2 054 €/m²,3.4
Crest,8 680,23 km²,377 h/km²,43.4%,7.9%,19 580 €/an,1 981 €/m²,3.6
Chabeuil,6 814,41 km²,166 h/km²,47.1%,4.8%,23 610 €/an,2 252 €/m²,3.8
Nyons,6 772,23 km²,294 h/km²,34.9%,6.9%,20 050 €/an,2 546 €/m²,3.6
Loriol-sur-Drôme,6 616,29 km²,228 h/km²,44.8%,5.5%,20 180 €/an,2 049 €/m²,3.2
Saint-Rambert-d'Albon,6 758,13 km²,520 h/km²,41.6%,7.3%,18 420 €/an,1 551 €/m²,3.8
Saint-Marcel-lès-Valence,6 289,15 km²,419 h/km²,45.2%,4.9%,23 140 €/an,2 305 €/m²,3.7
