Nb habitants,1 301 659,Classement
Age moyen,56 ans,Classement
Pop active,48.8%,Classement
Taux chômage,5.4%,Classement
Pop densité,719 h/km²,Classement
Revenu moyen,26 487 €/an,Classement
Agressions physiques / sexuelles,12 442
Cambriolages,3 701
Vols / dégradations,18 891
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Évry-Courcouronnes,66 851,13 km²,5 142 h/km²,46.9%,8.3%,18 170 €/an,2 173 €/m²,3.1
Corbeil-Essonnes,51 234,11 km²,4 658 h/km²,46.6%,5.6%,17 920 €/an,2 499 €/m²,2.0
Massy,50 644,9 km²,5 627 h/km²,53.3%,5.7%,23 400 €/an,3 625 €/m²,3.2
Savigny-sur-Orge,36 577,7 km²,5 225 h/km²,50.4%,5.8%,24 720 €/an,3 372 €/m²,2.8
Sainte-Geneviève-des-Bois,35 830,9 km²,3 981 h/km²,48.4%,5.9%,23 140 €/an,3 295 €/m²,3.7
Palaiseau,35 236,12 km²,2 936 h/km²,50.8%,4.7%,27 470 €/an,3 882 €/m²,3.8
Athis-Mons,35 670,9 km²,3 963 h/km²,48.4%,4.3%,21 530 €/an,3 297 €/m²,3.6
Viry-Châtillon,30 865,6 km²,5 144 h/km²,48.4%,7.1%,21 140 €/an,3 046 €/m²,3.5
Vigneux-sur-Seine,31 394,9 km²,3 488 h/km²,48%,7%,20 510 €/an,3 323 €/m²,3.1
Draveil,28 602,16 km²,1 788 h/km²,46.3%,5.4%,24 940 €/an,3 365 €/m²,3.9
Yerres,29 318,10 km²,2 932 h/km²,49.3%,4.7%,26 820 €/an,3 276 €/m²,4.1
Grigny,28 201,5 km²,5 640 h/km²,40.3%,8.9%,13 960 €/an,2 334 €/m²,1.5
Ris-Orangis,29 745,9 km²,3 305 h/km²,46.9%,7%,19 360 €/an,2 502 €/m²,2.9
Brétigny-sur-Orge,27 412,15 km²,1 827 h/km²,51.1%,6.5%,22 910 €/an,3 055 €/m²,3.4
Brunoy,25 330,7 km²,3 619 h/km²,47.4%,4.3%,26 030 €/an,3 293 €/m²,3.7
