Nb habitants,431 575,Classement
Age moyen,58 ans,Classement
Pop active,46.1%,Classement
Taux chômage,5.6%,Classement
Pop densité,73 h/km²,Classement
Revenu moyen,22 577 €/an,Classement
Agressions physiques / sexuelles,2 454
Cambriolages,342
Vols / dégradations,1 798
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Chartres,38 534,17 km²,2 267 h/km²,46.2%,6.6%,21 780 €/an,2 255 €/m²,3.5
Dreux,30 646,24 km²,1 277 h/km²,41.3%,9.7%,17 230 €/an,1 596 €/m²,2.9
Lucé,15 403,6 km²,2 567 h/km²,45.3%,8.4%,18 900 €/an,2 006 €/m²,3.4
Châteaudun,13 096,28 km²,468 h/km²,37.1%,6.9%,18 630 €/an,1 309 €/m²,3.6
Vernouillet,12 472,12 km²,1 039 h/km²,40.3%,8.6%,18 720 €/an,1 717 €/m²,3.5
Mainvilliers,11 127,12 km²,927 h/km²,47%,9.5%,19 690 €/an,2 008 €/m²,4.1
Nogent-le-Rotrou,9 491,23 km²,413 h/km²,41.1%,6.5%,20 240 €/an,1 158 €/m²,3.5
Luisant,6 689,4 km²,1 672 h/km²,44.6%,4.7%,24 560 €/an,2 293 €/m²,4.2
Auneau-Bleury-Saint-Symphorien,6 090,34 km²,179 h/km²,50.4%,5.8%,22 480 €/an,2 041 €/m²,-
Cloyes-les-Trois-Rivières,5 618,119 km²,47 h/km²,41.8%,4.5%,21 860 €/an,1 182 €/m²,4.0
Lèves,5 686,8 km²,711 h/km²,45.1%,3.9%,24 170 €/an,2 184 €/m²,2.8
Épernon,5 634,6 km²,939 h/km²,53.7%,6.3%,22 410 €/an,2 535 €/m²,3.3
Bonneval,4 846,29 km²,167 h/km²,39.7%,4.7%,21 340 €/an,1 482 €/m²,4.1
Maintenon,4 457,11 km²,405 h/km²,46.7%,5.2%,24 190 €/an,2 469 €/m²,3.5
Le Coudray,4 078,6 km²,680 h/km²,51.2%,4.2%,25 190 €/an,2 407 €/m²,4.2
