Nb habitants,599 522,Classement
Age moyen,58 ans,Classement
Pop active,46.3%,Classement
Taux chômage,6.1%,Classement
Pop densité,100 h/km²,Classement
Revenu moyen,22 153 €/an,Classement
Agressions physiques / sexuelles,3 388
Cambriolages,495
Vols / dégradations,3 069
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Évreux,46 349,26 km²,1 783 h/km²,44.4%,9.5%,18 040 €/an,1 707 €/m²,3.3
Vernon,23 727,35 km²,678 h/km²,43.4%,7.4%,20 050 €/an,2 229 €/m²,3.3
Louviers,18 518,27 km²,686 h/km²,45.6%,8.8%,19 150 €/an,1 278 €/m²,3.8
Val-de-Reuil,12 910,26 km²,497 h/km²,44%,10.6%,16 320 €/an,1 476 €/m²,3.4
Gisors,11 696,17 km²,688 h/km²,43.3%,7.7%,19 790 €/an,1 677 €/m²,3.2
Bernay,9 848,24 km²,410 h/km²,41.4%,8.8%,19 680 €/an,1 115 €/m²,3.4
Pont-Audemer,9 982,15 km²,665 h/km²,42.4%,9.2%,18 260 €/an,1 527 €/m²,3.4
Verneuil d'Avre et d'Iton,7 614,56 km²,136 h/km²,40.6%,6.8%,19 390 €/an,1 870 €/m²,2.8
Les Andelys,8 070,41 km²,197 h/km²,44.1%,8%,19 910 €/an,1 213 €/m²,3.8
Gaillon,6 860,10 km²,686 h/km²,45.3%,8.8%,18 430 €/an,1 108 €/m²,3.9
Vexin-sur-Epte,5 952,114 km²,52 h/km²,50%,4.7%,23 490 €/an,1 884 €/m²,1.2
Mesnils-sur-Iton,6 126,125 km²,49 h/km²,47%,6%,21 620 €/an,1 440 €/m²,3.4
Saint-Sébastien-de-Morsent,5 594,10 km²,559 h/km²,42.4%,4.8%,22 460 €/an,1 775 €/m²,-
Le Val d'Hazey,5 350,14 km²,382 h/km²,45%,6.9%,20 870 €/an,2 289 €/m²,4.2
Pacy-sur-Eure,5 056,22 km²,230 h/km²,45.7%,5.6%,22 470 €/an,2 515 €/m²,4.3
