Nb habitants,915 090,Classement
Age moyen,57 ans,Classement
Pop active,44.2%,Classement
Taux chômage,5.3%,Classement
Pop densité,136 h/km²,Classement
Revenu moyen,21 597 €/an,Classement
Agressions physiques / sexuelles,4 867
Cambriolages,1 150
Vols / dégradations,6 374
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Brest,139 926,50 km²,2 799 h/km²,46.1%,7.7%,20 520 €/an,1 531 €/m²,3.5
Quimper,63 283,84 km²,753 h/km²,46.9%,6.8%,21 540 €/an,1 640 €/m²,3.6
Concarneau,19 816,41 km²,483 h/km²,40.4%,6.2%,22 150 €/an,2 057 €/m²,3.6
Landerneau,15 918,13 km²,1 224 h/km²,45.2%,5.7%,22 340 €/an,1 628 €/m²,4.2
Morlaix,14 845,25 km²,594 h/km²,43.9%,8.9%,20 090 €/an,1 078 €/m²,3.1
Guipavas,15 050,44 km²,342 h/km²,45.4%,3.8%,24 030 €/an,1 963 €/m²,3.2
Douarnenez,14 000,25 km²,560 h/km²,40.4%,7.5%,20 600 €/an,1 533 €/m²,3.7
Plougastel-Daoulas,13 161,47 km²,280 h/km²,44.5%,4.7%,25 230 €/an,1 953 €/m²,4.2
Plouzané,13 496,33 km²,409 h/km²,41.9%,3.6%,23 550 €/an,1 719 €/m²,3.6
Quimperlé,12 220,32 km²,382 h/km²,43.9%,5.8%,21 320 €/an,1 492 €/m²,3.7
Le Relecq-Kerhuon,11 717,6 km²,1 953 h/km²,45.4%,4.6%,25 400 €/an,2 210 €/m²,4.1
Fouesnant,9 864,33 km²,299 h/km²,38.9%,3.8%,25 240 €/an,2 442 €/m²,3.7
Landivisiau,9 151,19 km²,482 h/km²,46.4%,5.5%,20 770 €/an,1 245 €/m²,3.4
Plabennec,8 515,50 km²,170 h/km²,46.1%,4.4%,22 820 €/an,1 687 €/m²,4.3
Ergué-Gabéric,8 434,40 km²,211 h/km²,45.8%,3.8%,23 410 €/an,1 604 €/m²,3.6
