Nb habitants,748 437,Classement
Age moyen,57 ans,Classement
Pop active,42.7%,Classement
Taux chômage,7.2%,Classement
Pop densité,128 h/km²,Classement
Revenu moyen,19 851 €/an,Classement
Agressions physiques / sexuelles,5 637
Cambriolages,2 096
Vols / dégradations,8 617
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Nîmes,148 561,162 km²,917 h/km²,39.8%,8.5%,18 020 €/an,2 026 €/m²,2.9
Alès,41 837,23 km²,1 819 h/km²,38.1%,10.3%,17 180 €/an,1 598 €/m²,3.3
Bagnols-sur-Cèze,18 091,31 km²,584 h/km²,39.2%,8.4%,18 530 €/an,1 636 €/m²,2.6
Beaucaire,15 906,87 km²,183 h/km²,41.9%,9.5%,17 420 €/an,1 533 €/m²,2.3
Saint-Gilles,13 931,154 km²,90 h/km²,40.2%,8.6%,17 350 €/an,1 633 €/m²,3.4
Villeneuve-lès-Avignon,12 216,18 km²,679 h/km²,42.9%,4.2%,26 370 €/an,3 032 €/m²,3.9
Vauvert,11 492,110 km²,104 h/km²,42.2%,7.4%,18 980 €/an,2 002 €/m²,3.2
Pont-Saint-Esprit,10 369,18 km²,576 h/km²,39.6%,7.6%,19 120 €/an,1 626 €/m²,2.0
Marguerittes,8 656,25 km²,346 h/km²,44.1%,6.5%,21 580 €/an,2 349 €/m²,3.4
Uzès,8 387,25 km²,335 h/km²,36.2%,6.7%,19 640 €/an,2 903 €/m²,4.0
Le Grau-du-Roi,8 419,55 km²,153 h/km²,35.2%,8.2%,20 670 €/an,4 121 €/m²,3.6
Les Angles,8 476,18 km²,471 h/km²,42.6%,5.1%,24 760 €/an,2 719 €/m²,4.3
Aigues-Mortes,8 560,58 km²,148 h/km²,44.7%,6.8%,21 590 €/an,3 237 €/m²,3.3
Rochefort-du-Gard,7 629,34 km²,224 h/km²,49.4%,5.8%,23 820 €/an,2 626 €/m²,2.9
Saint-Christol-lez-Alès,7 055,20 km²,353 h/km²,39.9%,6.8%,19 730 €/an,1 972 €/m²,3.8
