Nb habitants,191 377,Classement
Age moyen,58 ans,Classement
Pop active,43.4%,Classement
Taux chômage,4.7%,Classement
Pop densité,31 h/km²,Classement
Revenu moyen,16 396 €/an,Classement
Agressions physiques / sexuelles,563
Cambriolages,91
Vols / dégradations,732
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Auch,22 173,72 km²,308 h/km²,42.4%,6.4%,20 700 €/an,1 588 €/m²,2.7
L'Isle-Jourdain,9 072,70 km²,130 h/km²,49.6%,4%,23 490 €/an,2 087 €/m²,3.4
Condom,6 493,97 km²,67 h/km²,38.5%,6.1%,18 870 €/an,1 192 €/m²,3.8
Fleurance,5 924,43 km²,138 h/km²,39.4%,6.3%,19 740 €/an,1 365 €/m²,4.3
Eauze,3 975,70 km²,57 h/km²,39.5%,4.1%,18 570 €/an,1 569 €/m²,4.2
Lectoure,3 672,85 km²,43 h/km²,38.4%,5.4%,20 420 €/an,1 615 €/m²,3.6
Vic-Fezensac,3 546,54 km²,66 h/km²,40.7%,4.5%,19 670 €/an,1 074 €/m²,4.0
Mirande,3 450,23 km²,150 h/km²,40.2%,6.4%,19 510 €/an,1 134 €/m²,2.6
Gimont,3 016,28 km²,108 h/km²,45.4%,4.8%,20 840 €/an,1 531 €/m²,3.6
Pavie,2 501,25 km²,100 h/km²,43%,4.6%,23 470 €/an,1 591 €/m²,-
Samatan,2 328,34 km²,68 h/km²,44.4%,4.9%,22 130 €/an,1 851 €/m²,4.0
Mauvezin,2 218,32 km²,69 h/km²,41.7%,4%,20 580 €/an,1 551 €/m²,-
Lombez,2 156,20 km²,108 h/km²,42.2%,5.5%,21 230 €/an,1 515 €/m²,4.3
Nogaro,2 027,11 km²,184 h/km²,38%,5.7%,18 740 €/an,1 041 €/m²,-
Riscle,1 829,37 km²,49 h/km²,37.9%,5.2%,19 730 €/an,1 172 €/m²,-
