Nb habitants,1 623 749,Classement
Age moyen,55 ans,Classement
Pop active,47.7%,Classement
Taux chômage,6.1%,Classement
Pop densité,163 h/km²,Classement
Revenu moyen,20 847 €/an,Classement
Agressions physiques / sexuelles,13 672
Cambriolages,6 919
Vols / dégradations,32 455
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Bordeaux,260 958,49 km²,5 326 h/km²,50.7%,7.4%,23 360 €/an,4 627 €/m²,3.5
Mérignac,72 197,48 km²,1 504 h/km²,51.6%,6.1%,23 640 €/an,3 426 €/m²,3.4
Pessac,65 245,39 km²,1 673 h/km²,46.2%,6.2%,24 520 €/an,3 638 €/m²,3.9
Talence,43 820,8 km²,5 478 h/km²,47.1%,7.1%,22 820 €/an,3 991 €/m²,3.6
Villenave-d'Ornon,36 754,21 km²,1 750 h/km²,51.7%,6.3%,22 680 €/an,3 325 €/m²,3.7
Saint-Médard-en-Jalles,31 808,85 km²,374 h/km²,48.3%,4.5%,25 690 €/an,3 328 €/m²,4.0
Bègles,30 642,10 km²,3 064 h/km²,50.3%,7.2%,22 000 €/an,3 673 €/m²,3.4
La Teste-de-Buch,26 168,180 km²,145 h/km²,44.3%,6.1%,23 080 €/an,4 732 €/m²,3.5
Gradignan,25 694,16 km²,1 606 h/km²,43.2%,4.9%,24 820 €/an,3 445 €/m²,4.5
Libourne,24 257,21 km²,1 155 h/km²,44.6%,8.6%,19 840 €/an,2 186 €/m²,3.0
Cenon,25 496,6 km²,4 249 h/km²,44.8%,8.1%,17 940 €/an,3 033 €/m²,3.1
Le Bouscat,23 890,5 km²,4 778 h/km²,47.2%,5.3%,25 690 €/an,4 254 €/m²,3.9
Eysines,24 488,12 km²,2 041 h/km²,51.1%,7.2%,22 730 €/an,3 387 €/m²,3.9
Lormont,23 181,7 km²,3 312 h/km²,44.5%,9.5%,17 170 €/an,2 608 €/m²,3.3
Gujan-Mestras,21 887,54 km²,405 h/km²,43.1%,5.8%,24 200 €/an,3 997 €/m²,3.4
