Nb habitants,767 086,Classement
Age moyen,57 ans,Classement
Pop active,47.5%,Classement
Taux chômage,6.4%,Classement
Pop densité,217 h/km²,Classement
Revenu moyen,26 589 €/an,Classement
Agressions physiques / sexuelles,5 715
Cambriolages,665
Vols / dégradations,6 135
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Mulhouse,108 312,22 km²,4 923 h/km²,41.9%,11.4%,16 100 €/an,NC,3.4
Colmar,68 682,67 km²,1 025 h/km²,48.1%,7.8%,20 120 €/an,NC,3.5
Saint-Louis,22 413,17 km²,1 318 h/km²,47.4%,9.2%,22 610 €/an,NC,3.2
Illzach,14 784,8 km²,1 848 h/km²,43.4%,8.2%,19 870 €/an,NC,3.1
Wittenheim,14 776,19 km²,778 h/km²,40.7%,5.8%,21 080 €/an,NC,4.1
Rixheim,14 204,20 km²,710 h/km²,50.3%,5.6%,25 150 €/an,NC,3.7
Kingersheim,13 263,7 km²,1 895 h/km²,46.2%,6.8%,22 250 €/an,NC,4.0
Riedisheim,12 520,7 km²,1 789 h/km²,45.7%,5.4%,24 800 €/an,NC,4.2
Cernay,11 476,18 km²,638 h/km²,44.8%,5%,21 050 €/an,NC,3.8
Guebwiller,11 020,10 km²,1 102 h/km²,46.1%,7.9%,20 170 €/an,NC,3.8
Wittelsheim,10 362,24 km²,432 h/km²,47.8%,5.6%,22 730 €/an,NC,3.5
Pfastatt,9 723,5 km²,1 945 h/km²,44.9%,6.5%,22 090 €/an,NC,3.1
Thann,7 767,13 km²,597 h/km²,46.4%,6.9%,20 950 €/an,NC,3.0
Brunstatt-Didenheim,8 163,14 km²,583 h/km²,46.8%,5.6%,26 600 €/an,NC,4.2
Wintzenheim,7 853,19 km²,413 h/km²,46.2%,4.9%,23 310 €/an,NC,3.4
