Nb habitants,1 400 039,Classement
Age moyen,54 ans,Classement
Pop active,49.7%,Classement
Taux chômage,6.2%,Classement
Pop densité,222 h/km²,Classement
Revenu moyen,19 074 €/an,Classement
Agressions physiques / sexuelles,12 166
Cambriolages,5 196
Vols / dégradations,31 294
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Toulouse,493 465,118 km²,4 182 h/km²,51.3%,8.2%,21 440 €/an,3 171 €/m²,3.2
Colomiers,39 968,21 km²,1 903 h/km²,50%,6.2%,23 080 €/an,2 404 €/m²,3.0
Tournefeuille,28 117,18 km²,1 562 h/km²,50.1%,4.6%,28 300 €/an,2 949 €/m²,4.5
Muret,24 797,58 km²,428 h/km²,46.3%,7.3%,21 600 €/an,2 099 €/m²,3.6
Blagnac,25 525,17 km²,1 501 h/km²,53.6%,6%,24 700 €/an,2 897 €/m²,3.8
Plaisance-du-Touch,19 402,27 km²,719 h/km²,48.1%,4.6%,25 680 €/an,2 632 €/m²,3.4
Cugnaux,19 344,13 km²,1 488 h/km²,48.4%,6.1%,23 280 €/an,2 453 €/m²,2.6
Balma,16 625,17 km²,978 h/km²,47.4%,4.5%,27 480 €/an,3 207 €/m²,4.3
Ramonville-Saint-Agne,14 600,6 km²,2 433 h/km²,46.9%,6.8%,23 940 €/an,2 749 €/m²,3.8
Castanet-Tolosan,14 213,8 km²,1 777 h/km²,52.1%,5.6%,24 480 €/an,2 800 €/m²,2.8
Fonsorbes,12 170,19 km²,641 h/km²,51.6%,5.1%,25 080 €/an,2 404 €/m²,3.5
Saint-Orens-de-Gameville,12 696,13 km²,977 h/km²,46%,4.6%,25 440 €/an,3 023 €/m²,3.6
L'Union,11 798,7 km²,1 685 h/km²,41.7%,3.7%,26 890 €/an,3 029 €/m²,3.3
Saint-Gaudens,11 773,27 km²,436 h/km²,38%,7.5%,18 970 €/an,1 099 €/m²,3.8
Saint-Jean,11 017,6 km²,1 836 h/km²,47.8%,4.9%,25 200 €/an,2 907 €/m²,3.5
