Nb habitants,227 570,Classement
Age moyen,58 ans,Classement
Pop active,44.6%,Classement
Taux chômage,4.6%,Classement
Pop densité,46 h/km²,Classement
Revenu moyen,16 886 €/an,Classement
Agressions physiques / sexuelles,728
Cambriolages,157
Vols / dégradations,712
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Le Puy-en-Velay,19 215,17 km²,1 130 h/km²,43.6%,7.8%,19 320 €/an,1 359 €/m²,3.7
Monistrol-sur-Loire,8 875,48 km²,185 h/km²,48%,4.6%,22 810 €/an,1 893 €/m²,4.1
Yssingeaux,7 278,81 km²,90 h/km²,45.7%,4.4%,21 630 €/an,1 449 €/m²,3.8
Brioude,6 609,14 km²,472 h/km²,39.3%,6.7%,19 290 €/an,1 286 €/m²,3.2
Aurec-sur-Loire,6 142,22 km²,279 h/km²,43.5%,4.2%,21 880 €/an,1 681 €/m²,4.4
Sainte-Sigolène,5 989,31 km²,193 h/km²,46.6%,4.7%,21 140 €/an,1 509 €/m²,2.8
Bas-en-Basset,4 377,47 km²,93 h/km²,45.4%,4.2%,22 010 €/an,1 604 €/m²,5.0
Saint-Just-Malmont,4 225,23 km²,184 h/km²,47.1%,4.7%,22 110 €/an,1 679 €/m²,4.2
Brives-Charensac,4 185,5 km²,837 h/km²,41.9%,5.8%,19 960 €/an,1 516 €/m²,4.6
Langeac,3 489,34 km²,103 h/km²,35.9%,4.4%,19 990 €/an,989 €/m²,-
Saint-Germain-Laprade,3 666,28 km²,131 h/km²,48.3%,3.2%,22 760 €/an,1 819 €/m²,4.0
Espaly-Saint-Marcel,3 497,6 km²,583 h/km²,44.2%,6.4%,21 480 €/an,1 422 €/m²,3.3
Saint-Didier-en-Velay,3 451,26 km²,133 h/km²,46.3%,3.3%,21 950 €/an,1 344 €/m²,2.8
Vals-près-le-Puy,3 420,5 km²,684 h/km²,41.3%,3.9%,21 720 €/an,1 381 €/m²,4.3
Coubon,3 258,23 km²,142 h/km²,45.7%,3.3%,22 910 €/an,1 602 €/m²,4.2
