Nb habitants,172 512,Classement
Age moyen,57 ans,Classement
Pop active,43.7%,Classement
Taux chômage,5.7%,Classement
Pop densité,28 h/km²,Classement
Revenu moyen,13 005 €/an,Classement
Agressions physiques / sexuelles,1 041
Cambriolages,125
Vols / dégradations,699
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Saint-Dizier,22 928,48 km²,478 h/km²,41.5%,9%,17 840 €/an,1 175 €/m²,2.7
Chaumont,21 847,55 km²,397 h/km²,47.2%,6.7%,20 530 €/an,1 206 €/m²,3.0
Langres,7 668,22 km²,349 h/km²,43.7%,7.9%,19 640 €/an,1 085 €/m²,4.1
Nogent,3 591,55 km²,65 h/km²,41.8%,5.3%,19 850 €/an,974 €/m²,-
Joinville,3 015,19 km²,159 h/km²,34.8%,8.2%,17 640 €/an,991 €/m²,3.3
Wassy,2 819,34 km²,83 h/km²,38.7%,6.7%,19 410 €/an,1 031 €/m²,2.4
Chalindrey,2 429,20 km²,121 h/km²,41.8%,6.3%,19 870 €/an,1 067 €/m²,4.0
La Porte du Der,2 282,47 km²,49 h/km²,42.6%,7.3%,20 000 €/an,1 683 €/m²,-
Eurville-Bienville,2 033,21 km²,97 h/km²,45.2%,6.2%,20 340 €/an,NC,-
Bourbonne-les-Bains,1 977,65 km²,30 h/km²,33.5%,5.2%,20 330 €/an,765 €/m²,-
Éclaron-Braucourt-Sainte-Livière,2 017,54 km²,37 h/km²,45.6%,4.8%,20 490 €/an,1 196 €/m²,-
Bologne,1 851,31 km²,60 h/km²,45.9%,3.7%,21 520 €/an,1 008 €/m²,3.4
Val-de-Meuse,1 832,77 km²,24 h/km²,48.5%,4.4%,21 050 €/an,NC,-
Bettancourt-la-Ferrée,1 792,5 km²,358 h/km²,33.5%,4.5%,22 980 €/an,1 486 €/m²,-
Châteauvillain,1 579,106 km²,15 h/km²,43.3%,6.6%,19 810 €/an,932 €/m²,3.6
