Nb habitants,826 094,Classement
Age moyen,56 ans,Classement
Pop active,51.4%,Classement
Taux chômage,4.9%,Classement
Pop densité,188 h/km²,Classement
Revenu moyen,29 235 €/an,Classement
Agressions physiques / sexuelles,5 470
Cambriolages,1 935
Vols / dégradations,8 075
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Annecy,130 721,67 km²,1 951 h/km²,49.4%,4.9%,24 870 €/an,4 270 €/m²,3.6
Annemasse,36 582,5 km²,7 316 h/km²,51.9%,9.6%,21 370 €/an,3 172 €/m²,2.4
Thonon-les-Bains,35 826,16 km²,2 239 h/km²,46.6%,6.2%,23 080 €/an,3 052 €/m²,3.4
Cluses,16 918,10 km²,1 692 h/km²,48.7%,7%,20 730 €/an,2 041 €/m²,3.4
Sallanches,16 831,66 km²,255 h/km²,50.5%,3.6%,23 600 €/an,2 850 €/m²,3.2
Rumilly,15 768,17 km²,928 h/km²,48%,5.2%,21 950 €/an,2 513 €/m²,3.4
Saint-Julien-en-Genevois,15 873,11 km²,1 443 h/km²,54%,8.1%,31 520 €/an,3 614 €/m²,3.7
Bonneville,12 509,27 km²,463 h/km²,52.7%,6.8%,23 600 €/an,2 616 €/m²,3.4
La Roche-sur-Foron,11 149,18 km²,619 h/km²,53.6%,5%,27 050 €/an,3 165 €/m²,3.7
Gaillard,10 071,4 km²,2 518 h/km²,56.3%,12.3%,23 410 €/an,3 166 €/m²,3.1
Passy,11 233,80 km²,140 h/km²,49.7%,3%,23 930 €/an,2 754 €/m²,3.5
Fillière,9 449,119 km²,79 h/km²,51.8%,3.5%,30 110 €/an,3 750 €/m²,3.8
Évian-les-Bains,9 108,4 km²,2 277 h/km²,50.6%,6.5%,27 220 €/an,3 834 €/m²,3.2
Chamonix-Mont-Blanc,8 640,117 km²,74 h/km²,52%,2.8%,23 090 €/an,7 210 €/m²,3.8
Ville-la-Grand,9 050,4 km²,2 263 h/km²,51%,7.1%,27 250 €/an,3 470 €/m²,1.9
