Nb habitants,235 313,Classement
Age moyen,58 ans,Classement
Pop active,44.6%,Classement
Taux chômage,5.4%,Classement
Pop densité,44 h/km²,Classement
Revenu moyen,17 298 €/an,Classement
Agressions physiques / sexuelles,918
Cambriolages,98
Vols / dégradations,711
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Vesoul,14 914,9 km²,1 657 h/km²,44.3%,8.9%,18 600 €/an,1 181 €/m²,3.9
Héricourt,10 646,21 km²,507 h/km²,44.5%,7.2%,19 680 €/an,1 325 €/m²,2.6
Luré,8 046,24 km²,335 h/km²,42.3%,7.5%,18 800 €/an,1 479 €/m²,3.6
Luxeuil-les-Bains,6 623,22 km²,301 h/km²,41.6%,8.6%,17 990 €/an,938 €/m²,3.3
Gray,5 553,20 km²,278 h/km²,37.4%,7.9%,17 380 €/an,1 008 €/m²,2.5
Fougerolles-Saint-Valbert,3 797,55 km²,69 h/km²,44.7%,4.7%,20 390 €/an,896 €/m²,3.4
Champagney,3 745,37 km²,101 h/km²,45%,5%,21 190 €/an,1 386 €/m²,-
Saint-Loup-sur-Semouse,3 150,17 km²,185 h/km²,33.6%,7.7%,16 910 €/an,977 €/m²,3.4
Échenoz-la-Méline,3 249,8 km²,406 h/km²,46.9%,5.2%,22 240 €/an,1 379 €/m²,4.0
Port-sur-Saône,2 954,25 km²,118 h/km²,46.2%,5.2%,20 530 €/an,1 200 €/m²,3.4
Ronchamp,2 735,24 km²,114 h/km²,41.2%,7.9%,19 160 €/an,1 050 €/m²,4.0
Arc-lès-Gray,2 533,12 km²,211 h/km²,41.2%,6.6%,19 700 €/an,1 022 €/m²,4.0
Vaivre-et-Montoille,2 418,8 km²,302 h/km²,40.4%,4.2%,21 880 €/an,1 496 €/m²,2.8
Rioz,2 297,17 km²,135 h/km²,50.8%,4.5%,22 030 €/an,1 587 €/m²,3.4
Noidans-lès-Vesoul,1 978,9 km²,220 h/km²,45.9%,7%,21 180 €/an,1 379 €/m²,4.0
