Nb habitants,372 359,Classement
Age moyen,57 ans,Classement
Pop active,43.3%,Classement
Taux chômage,5.4%,Classement
Pop densité,67 h/km²,Classement
Revenu moyen,20 169 €/an,Classement
Agressions physiques / sexuelles,2 101
Cambriolages,605
Vols / dégradations,3 303
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Limoges,130 876,78 km²,1 678 h/km²,43.3%,7.8%,19 720 €/an,1 454 €/m²,3.6
Saint-Junien,11 254,57 km²,197 h/km²,42%,6.5%,20 980 €/an,1 554 €/m²,3.4
Panazol,10 900,20 km²,545 h/km²,40%,4.1%,23 520 €/an,1 674 €/m²,3.8
Couzeix,9 518,31 km²,307 h/km²,42.8%,3.2%,23 890 €/an,1 694 €/m²,4.2
Isle,7 847,20 km²,392 h/km²,40.6%,3.9%,24 010 €/an,1 762 €/m²,3.7
Saint-Yrieix-la-Perche,6 718,101 km²,67 h/km²,40.1%,4.9%,20 450 €/an,1 120 €/m²,2.2
Feytiat,6 118,25 km²,245 h/km²,42.8%,3.5%,23 890 €/an,1 567 €/m²,3.0
Le Palais-sur-Vienne,6 023,10 km²,602 h/km²,41.7%,5.1%,21 830 €/an,1 483 €/m²,3.0
Aixe-sur-Vienne,5 804,23 km²,252 h/km²,42.2%,4.4%,22 390 €/an,1 498 €/m²,3.7
Ambazac,5 593,58 km²,96 h/km²,44.1%,3.8%,21 810 €/an,1 405 €/m²,4.4
Condat-sur-Vienne,5 128,15 km²,342 h/km²,45.2%,3.4%,23 560 €/an,1 626 €/m²,3.8
Verneuil-sur-Vienne,4 881,35 km²,139 h/km²,46.5%,2.2%,25 240 €/an,1 635 €/m²,3.9
Saint-Léonard-de-Noblat,4 385,56 km²,78 h/km²,39.2%,4.8%,20 350 €/an,1 369 €/m²,4.2
Rilhac-Rancon,4 608,17 km²,271 h/km²,44.3%,3.4%,23 750 €/an,1 712 €/m²,-
Bellac,3 639,24 km²,152 h/km²,34.1%,4.9%,18 900 €/an,826 €/m²,-
