Nb habitants,181 933,Classement
Age moyen,56 ans,Classement
Pop active,42.9%,Classement
Taux chômage,5.4%,Classement
Pop densité,39 h/km²,Classement
Revenu moyen,10 803 €/an,Classement
Agressions physiques / sexuelles,950
Cambriolages,45
Vols / dégradations,819
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Bastia,48 503,19 km²,2 553 h/km²,41.8%,5.1%,19 460 €/an,3 585 €/m²,3.5
Borgo,8 832,38 km²,232 h/km²,45.8%,5.1%,21 040 €/an,2 424 €/m²,3.4
Biguglia,7 810,22 km²,355 h/km²,49.8%,3.9%,22 670 €/an,3 369 €/m²,4.0
Corte,7 485,149 km²,50 h/km²,36.1%,4.6%,20 100 €/an,2 164 €/m²,-
Furiani,5 608,18 km²,312 h/km²,46.7%,4.9%,22 330 €/an,3 680 €/m²,-
Calvi,5 774,31 km²,186 h/km²,53.6%,8.3%,19 110 €/an,8 684 €/m²,3.6
Lucciana,6 007,29 km²,207 h/km²,48.8%,5.1%,19 570 €/an,2 444 €/m²,3.6
Ghisonaccia,4 219,68 km²,62 h/km²,46.6%,7%,18 670 €/an,2 680 €/m²,-
Prunelli-di-Fiumorbo,3 667,37 km²,99 h/km²,41.7%,6.2%,18 770 €/an,2 332 €/m²,-
Penta-di-Casinca,3 370,19 km²,177 h/km²,43.1%,6.9%,18 630 €/an,2 127 €/m²,-
Ville-di-Pietrabugno,3 328,8 km²,416 h/km²,44.2%,4.6%,27 550 €/an,2 488 €/m²,-
L'Île-Rousse,3 163,3 km²,1 054 h/km²,39.6%,4.7%,17 820 €/an,3 731 €/m²,-
San-Martino-di-Lota,2 913,10 km²,291 h/km²,40.8%,3.9%,23 760 €/an,3 018 €/m²,3.0
Vescovato,2 851,18 km²,158 h/km²,42.1%,7.1%,18 460 €/an,2 428 €/m²,3.2
Ventiseri,2 512,47 km²,53 h/km²,49.3%,6.6%,22 070 €/an,2 194 €/m²,-
