Nb habitants,141 220,Classement
Age moyen,58 ans,Classement
Pop active,45.1%,Classement
Taux chômage,4.6%,Classement
Pop densité,25 h/km²,Classement
Revenu moyen,17 733 €/an,Classement
Agressions physiques / sexuelles,952
Cambriolages,93
Vols / dégradations,760
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Gap,40 631,110 km²,369 h/km²,45.3%,5.9%,21 330 €/an,2 184 €/m²,3.3
Briançon,11 339,28 km²,405 h/km²,44.6%,3.6%,20 490 €/an,2 266 €/m²,3.0
Embrun,6 335,36 km²,176 h/km²,40.6%,4.5%,20 670 €/an,2 712 €/m²,4.3
Laragne-Montéglin,3 543,24 km²,148 h/km²,38.9%,6%,19 740 €/an,1 415 €/m²,2.8
Veynes,3 216,43 km²,75 h/km²,37.2%,5%,19 690 €/an,1 511 €/m²,3.4
Chorges,3 061,53 km²,58 h/km²,47%,5.1%,22 010 €/an,2 443 €/m²,4.2
La Bâtie-Neuve,2 562,28 km²,92 h/km²,48.8%,4.9%,21 990 €/an,2 943 €/m²,2.1
L'Argentière-la-Bessée,2 255,65 km²,35 h/km²,47.2%,4.1%,19 930 €/an,1 849 €/m²,2.4
Guillestre,2 312,51 km²,45 h/km²,43.8%,3.1%,20 610 €/an,2 087 €/m²,4.4
Tallard,2 285,15 km²,152 h/km²,46.9%,4.1%,21 240 €/an,2 099 €/m²,3.5
Saint-Bonnet-en-Champsaur,2 063,36 km²,57 h/km²,42%,3.2%,21 750 €/an,1 778 €/m²,4.1
Saint-Chaffrey,1 531,26 km²,59 h/km²,45.2%,2.2%,22 580 €/an,3 412 €/m²,-
La Saulce,1 443,8 km²,180 h/km²,42.1%,5%,20 790 €/an,2 024 €/m²,-
La Roche-des-Arnauds,1 528,54 km²,28 h/km²,47.9%,4.4%,22 460 €/an,1 890 €/m²,-
Villar-Saint-Pancrace,1 477,43 km²,34 h/km²,46.2%,2.7%,22 190 €/an,2 902 €/m²,-
