Nb habitants,229 567,Classement
Age moyen,57 ans,Classement
Pop active,42.7%,Classement
Taux chômage,5.7%,Classement
Pop densité,51 h/km²,Classement
Revenu moyen,13 703 €/an,Classement
Agressions physiques / sexuelles,1 283
Cambriolages,262
Vols / dégradations,1 362
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Tarbes,42 758,15 km²,2 851 h/km²,41.7%,8.9%,18 350 €/an,1 312 €/m²,3.1
Lourdes,13 132,37 km²,355 h/km²,39%,9.9%,18 270 €/an,1 176 €/m²,2.6
Aureilhan,7 864,9 km²,874 h/km²,42.7%,6.9%,20 360 €/an,1 444 €/m²,3.7
Bagnères-de-Bigorre,7 085,126 km²,56 h/km²,39.1%,6%,20 020 €/an,1 638 €/m²,3.6
Lannemezan,5 816,19 km²,306 h/km²,37.6%,6.1%,19 690 €/an,1 225 €/m²,3.1
Vic-en-Bigorre,4 843,32 km²,151 h/km²,38%,6.3%,19 990 €/an,1 331 €/m²,3.8
Bordères-sur-l'Échez,5 357,16 km²,335 h/km²,43.4%,5.6%,19 960 €/an,1 594 €/m²,3.3
Séméac,5 085,6 km²,848 h/km²,42%,5.7%,21 810 €/an,1 501 €/m²,-
Juillan,4 045,8 km²,506 h/km²,44.1%,3.7%,23 120 €/an,1 695 €/m²,4.6
Barbazan-Debat,3 498,10 km²,350 h/km²,43.1%,5.3%,22 810 €/an,1 534 €/m²,4.4
Odos,3 290,9 km²,366 h/km²,41.4%,4%,24 760 €/an,1 605 €/m²,-
Soues,3 066,4 km²,767 h/km²,44.1%,5.8%,21 100 €/an,1 558 €/m²,-
Argelès-Gazost,2 911,3 km²,970 h/km²,40.4%,5.9%,20 920 €/an,1 927 €/m²,4.4
Ibos,2 906,33 km²,88 h/km²,38.9%,3%,23 650 €/an,1 656 €/m²,-
Maubourguet,2 266,22 km²,103 h/km²,39%,6%,19 170 €/an,1 163 €/m²,-
