Nb habitants,1 624 357,Classement
Age moyen,55 ans,Classement
Pop active,51.9%,Classement
Taux chômage,5.5%,Classement
Pop densité,9 126 h/km²,Classement
Revenu moyen,30 002 €/an,Classement
Agressions physiques / sexuelles,16 090
Cambriolages,4 382
Vols / dégradations,32 823
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Boulogne-Billancourt,121 583,6 km²,20 264 h/km²,54.2%,5%,33 860 €/an,8 648 €/m²,3.7
Nanterre,96 277,12 km²,8 023 h/km²,50.9%,7.6%,20 730 €/an,5 442 €/m²,3.0
Asnières-sur-Seine,87 143,5 km²,17 429 h/km²,53.6%,5.9%,26 460 €/an,6 340 €/m²,3.5
Colombes,86 534,8 km²,10 817 h/km²,50.4%,6.6%,23 320 €/an,5 467 €/m²,3.1
Courbevoie,81 558,4 km²,20 390 h/km²,54.6%,4.9%,31 040 €/an,6 690 €/m²,3.6
Rueil-Malmaison,78 317,15 km²,5 221 h/km²,50.4%,4.8%,31 690 €/an,6 066 €/m²,3.6
Issy-les-Moulineaux,67 981,4 km²,16 995 h/km²,55.8%,4.6%,32 270 €/an,7 770 €/m²,3.4
Levallois-Perret,66 082,2 km²,33 041 h/km²,55.2%,5%,33 160 €/an,9 093 €/m²,3.9
Antony,62 760,10 km²,6 276 h/km²,49.8%,4.4%,30 670 €/an,5 266 €/m²,3.9
Neuilly-sur-Seine,59 599,4 km²,14 900 h/km²,46.1%,4.4%,46 180 €/an,10 306 €/m²,3.8
Clichy,63 089,3 km²,21 030 h/km²,54.5%,7.3%,20 610 €/an,6 352 €/m²,3.2
Clamart,52 925,9 km²,5 881 h/km²,50.6%,5.2%,27 840 €/an,5 986 €/m²,3.9
Montrouge,48 352,2 km²,24 176 h/km²,55.7%,5.3%,29 120 €/an,7 135 €/m²,4.1
Suresnes,49 311,4 km²,12 328 h/km²,55.2%,5.4%,30 490 €/an,6 827 €/m²,3.9
Meudon,45 818,10 km²,4 582 h/km²,49%,4.8%,29 480 €/an,5 591 €/m²,3.7
