Nb habitants,1 175 623,Classement
Age moyen,56 ans,Classement
Pop active,43.9%,Classement
Taux chômage,7.4%,Classement
Pop densité,193 h/km²,Classement
Revenu moyen,19 739 €/an,Classement
Agressions physiques / sexuelles,11 106
Cambriolages,4 038
Vols / dégradations,23 438
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Montpellier,295 542,57 km²,5 185 h/km²,45.6%,9.4%,18 870 €/an,2 957 €/m²,3.3
Béziers,78 308,95 km²,824 h/km²,36.4%,8.5%,16 350 €/an,1 602 €/m²,3.2
Sète,43 858,24 km²,1 827 h/km²,36.6%,7.8%,18 780 €/an,2 803 €/m²,3.2
Agde,29 600,51 km²,580 h/km²,37.4%,10.3%,19 410 €/an,3 219 €/m²,3.1
Lunel,26 385,24 km²,1 099 h/km²,41.9%,8.3%,18 340 €/an,2 101 €/m²,3.5
Frontignan,23 028,32 km²,720 h/km²,44.2%,6.9%,20 630 €/an,2 949 €/m²,2.6
Castelnau-le-Lez,22 534,11 km²,2 049 h/km²,48.2%,5.7%,24 160 €/an,3 390 €/m²,3.8
Mauguio,16 705,50 km²,334 h/km²,44.3%,5.6%,23 710 €/an,3 712 €/m²,3.5
Lattes,17 453,28 km²,623 h/km²,47.5%,5.8%,25 230 €/an,3 848 €/m²,3.6
Mèze,12 307,35 km²,352 h/km²,40.2%,7.5%,20 230 €/an,2 839 €/m²,3.2
Juvignac,11 344,11 km²,1 031 h/km²,46.9%,6.3%,22 300 €/an,3 002 €/m²,3.1
Saint-Gély-du-Fesc,10 197,17 km²,600 h/km²,44.8%,3.7%,28 390 €/an,3 516 €/m²,4.5
Villeneuve-lès-Maguelone,10 344,23 km²,450 h/km²,44.7%,5.9%,22 580 €/an,3 176 €/m²,3.7
Le Crès,9 310,6 km²,1 552 h/km²,45.9%,5%,24 670 €/an,3 427 €/m²,3.3
Saint-Jean-de-Védas,11 086,13 km²,853 h/km²,46.9%,5.5%,24 660 €/an,3 065 €/m²,3.8
