Nb habitants,1 079 498,Classement
Age moyen,56 ans,Classement
Pop active,47.3%,Classement
Taux chômage,4.9%,Classement
Pop densité,159 h/km²,Classement
Revenu moyen,21 788 €/an,Classement
Agressions physiques / sexuelles,6 656
Cambriolages,1 289
Vols / dégradations,9 587
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Rennes,220 488,50 km²,4 410 h/km²,47%,7.6%,21 760 €/an,3 228 €/m²,3.7
Saint-Malo,46 803,37 km²,1 265 h/km²,39.5%,5.4%,22 260 €/an,3 647 €/m²,3.7
Fougères,20 595,10 km²,2 060 h/km²,43%,7.1%,19 780 €/an,1 354 €/m²,3.5
Bruz,18 905,30 km²,630 h/km²,47.5%,4.9%,24 420 €/an,2 563 €/m²,3.8
Vitré,18 487,37 km²,500 h/km²,47.4%,5.1%,22 180 €/an,2 116 €/m²,4.1
Cesson-Sévigné,17 082,32 km²,534 h/km²,44%,4.2%,28 050 €/an,3 238 €/m²,4.0
Saint-Jacques-de-la-Lande,13 948,12 km²,1 162 h/km²,54.5%,7.8%,20 670 €/an,2 501 €/m²,2.8
Pacé,11 860,35 km²,339 h/km²,50.2%,4.2%,26 780 €/an,2 617 €/m²,4.8
Betton,12 265,27 km²,454 h/km²,49.1%,3.9%,25 630 €/an,2 834 €/m²,4.0
Chantepie,10 278,12 km²,857 h/km²,50.3%,4.9%,23 980 €/an,2 530 €/m²,4.2
Dinard,10 181,8 km²,1 273 h/km²,33.5%,4.4%,24 550 €/an,4 108 €/m²,3.5
Châteaugiron,10 283,24 km²,428 h/km²,50.4%,3.2%,25 330 €/an,2 246 €/m²,-
Saint-Grégoire,9 890,17 km²,582 h/km²,46.8%,3.7%,29 580 €/an,3 128 €/m²,4.5
Redon,9 287,15 km²,619 h/km²,41.7%,6.7%,20 860 €/an,1 540 €/m²,3.9
Thorigné-Fouillard,8 575,14 km²,613 h/km²,48.7%,3.9%,26 680 €/an,2 696 €/m²,4.3
