Nb habitants,1 271 166,Classement
Age moyen,56 ans,Classement
Pop active,47.2%,Classement
Taux chômage,5.2%,Classement
Pop densité,171 h/km²,Classement
Revenu moyen,22 540 €/an,Classement
Agressions physiques / sexuelles,8 762
Cambriolages,4 512
Vols / dégradations,20 160
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Grenoble,158 198,18 km²,8 789 h/km²,48%,7.2%,21 170 €/an,2 386 €/m²,2.8
Saint-Martin-d'Hères,37 935,9 km²,4 215 h/km²,43.9%,6.5%,20 330 €/an,2 254 €/m²,3.1
Échirolles,36 932,8 km²,4 617 h/km²,42.3%,7.4%,19 230 €/an,1 882 €/m²,2.6
Vienne,29 993,23 km²,1 304 h/km²,45.5%,6.2%,20 180 €/an,2 024 €/m²,2.4
Bourgoin-Jallieu,28 834,24 km²,1 201 h/km²,47.1%,7.8%,19 960 €/an,2 129 €/m²,3.2
Fontaine,23 211,7 km²,3 316 h/km²,47.9%,7.2%,19 820 €/an,1 987 €/m²,3.3
Voiron,20 372,22 km²,926 h/km²,45.4%,5.7%,22 000 €/an,2 334 €/m²,3.6
Villefontaine,18 835,12 km²,1 570 h/km²,45.8%,8%,18 680 €/an,1 992 €/m²,3.0
Meylan,17 786,12 km²,1 482 h/km²,43.4%,3.6%,29 200 €/an,3 283 €/m²,3.7
L'Isle-d'Abeau,16 584,9 km²,1 843 h/km²,51.4%,7.5%,19 820 €/an,2 376 €/m²,3.4
Saint-Égrève,15 944,11 km²,1 449 h/km²,46.3%,4.3%,25 110 €/an,2 656 €/m²,3.9
Seyssinet-Pariset,11 891,11 km²,1 081 h/km²,48%,4.9%,23 970 €/an,2 272 €/m²,3.7
Sassenage,11 062,13 km²,851 h/km²,49.3%,4.5%,24 650 €/an,2 548 €/m²,2.8
Le Pont-de-Claix,10 716,6 km²,1 786 h/km²,46.4%,6.5%,19 520 €/an,1 698 €/m²,3.0
Eybens,9 980,5 km²,1 996 h/km²,49%,4.8%,23 990 €/an,2 945 €/m²,4.0
