Nb habitants,259 199,Classement
Age moyen,58 ans,Classement
Pop active,45.2%,Classement
Taux chômage,4.6%,Classement
Pop densité,52 h/km²,Classement
Revenu moyen,17 954 €/an,Classement
Agressions physiques / sexuelles,990
Cambriolages,105
Vols / dégradations,972
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Dole,23 711,38 km²,624 h/km²,40.8%,6.5%,20 060 €/an,1 490 €/m²,3.8
Lons-le-Saunier,17 189,8 km²,2 149 h/km²,40.4%,5.8%,19 730 €/an,1 452 €/m²,3.3
Saint-Claude,8 985,70 km²,128 h/km²,41.8%,6.1%,19 110 €/an,921 €/m²,3.9
Champagnole,8 014,20 km²,401 h/km²,42.2%,4.8%,20 360 €/an,1 238 €/m²,4.1
Hauts de Bienne,5 275,23 km²,229 h/km²,48.1%,9.5%,22 740 €/an,1 110 €/m²,-
Poligny,4 003,50 km²,80 h/km²,43.9%,5%,20 540 €/an,1 308 €/m²,0.0
Tavaux,3 957,14 km²,283 h/km²,45.1%,4.4%,22 550 €/an,1 402 €/m²,2.9
Les Rousses,3 648,38 km²,96 h/km²,60.5%,5.9%,34 990 €/an,2 494 €/m²,3.8
Arbois,3 295,45 km²,73 h/km²,40.2%,4.3%,21 110 €/an,1 321 €/m²,-
Montmorot,3 082,11 km²,280 h/km²,42.1%,4.2%,22 000 €/an,1 275 €/m²,-
Damparis,2 629,9 km²,292 h/km²,45.5%,4.3%,20 910 €/an,1 366 €/m²,3.8
Salins-les-Bains,2 551,25 km²,102 h/km²,36.5%,4.7%,19 480 €/an,1 107 €/m²,1.2
Coteaux du Lizon,2 260,15 km²,151 h/km²,43%,4.3%,22 170 €/an,1 345 €/m²,-
Saint-Amour,2 392,12 km²,199 h/km²,42%,5.1%,19 920 €/an,1 102 €/m²,-
Morbier,2 263,42 km²,54 h/km²,51.8%,5.3%,29 830 €/an,2 201 €/m²,-
