Nb habitants,413 690,Classement
Age moyen,58 ans,Classement
Pop active,44.4%,Classement
Taux chômage,5.8%,Classement
Pop densité,45 h/km²,Classement
Revenu moyen,20 529 €/an,Classement
Agressions physiques / sexuelles,1 954
Cambriolages,562
Vols / dégradations,3 036
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Mont-de-Marsan,29 807,37 km²,806 h/km²,45%,6.9%,21 200 €/an,1 784 €/m²,3.3
Dax,20 843,20 km²,1 042 h/km²,42%,8.7%,19 610 €/an,2 008 €/m²,3.5
Biscarrosse,13 947,160 km²,87 h/km²,40.5%,7.2%,22 740 €/an,3 317 €/m²,3.3
Saint-Paul-lès-Dax,13 381,58 km²,231 h/km²,41.4%,6.6%,21 230 €/an,2 062 €/m²,3.5
Tarnos,12 634,26 km²,486 h/km²,44.6%,5.1%,22 560 €/an,3 013 €/m²,3.9
Saint-Pierre-du-Mont,9 689,26 km²,373 h/km²,47%,5.6%,22 100 €/an,1 840 €/m²,3.9
Capbreton,9 037,22 km²,411 h/km²,41.8%,6.4%,22 950 €/an,4 740 €/m²,3.4
Soustons,8 235,100 km²,82 h/km²,42.1%,5.8%,22 370 €/an,3 084 €/m²,3.7
Saint-Vincent-de-Tyrosse,7 734,21 km²,368 h/km²,47%,5.8%,21 150 €/an,2 397 €/m²,2.9
Mimizan,7 255,115 km²,63 h/km²,39.6%,7.3%,21 110 €/an,2 763 €/m²,4.5
Aire-sur-l'Adour,6 189,58 km²,107 h/km²,39.1%,6.1%,20 580 €/an,1 428 €/m²,3.8
Labenne,6 887,24 km²,287 h/km²,47.7%,6.7%,22 900 €/an,3 367 €/m²,4.5
Parentis-en-Born,6 684,112 km²,60 h/km²,44.6%,5.9%,21 620 €/an,2 274 €/m²,2.9
Saint-Martin-de-Seignanx,5 776,45 km²,128 h/km²,47.5%,4.8%,22 720 €/an,2 787 €/m²,2.8
Morcenx-la-Nouvelle,4 987,138 km²,36 h/km²,39.1%,6%,20 070 €/an,1 627 €/m²,0.5
