Nb habitants,1 429 272,Classement
Age moyen,56 ans,Classement
Pop active,47.8%,Classement
Taux chômage,5.3%,Classement
Pop densité,208 h/km²,Classement
Revenu moyen,22 286 €/an,Classement
Agressions physiques / sexuelles,10 330
Cambriolages,5 363
Vols / dégradations,32 236
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Nantes,318 808,65 km²,4 905 h/km²,50.3%,7.8%,22 960 €/an,3 459 €/m²,3.3
Saint-Nazaire,71 394,47 km²,1 519 h/km²,43.7%,7.1%,21 100 €/an,2 329 €/m²,3.1
Saint-Herblain,47 415,30 km²,1 581 h/km²,47.8%,6.5%,21 930 €/an,2 510 €/m²,3.1
Rezé,42 919,14 km²,3 066 h/km²,49%,5.8%,22 490 €/an,2 783 €/m²,3.3
Saint-Sébastien-sur-Loire,27 493,12 km²,2 291 h/km²,48.7%,4.9%,24 290 €/an,3 003 €/m²,3.9
Orvault,27 209,28 km²,972 h/km²,46.2%,4.7%,25 920 €/an,2 941 €/m²,3.9
Vertou,25 541,36 km²,709 h/km²,47.7%,3.7%,26 150 €/an,3 082 €/m²,4.0
Couëron,22 309,44 km²,507 h/km²,50.3%,4.5%,23 300 €/an,2 654 €/m²,3.4
Carquefou,20 365,43 km²,474 h/km²,45.7%,4.2%,26 630 €/an,2 908 €/m²,4.0
La Chapelle-sur-Erdre,19 551,33 km²,592 h/km²,48.1%,4%,26 840 €/an,3 118 €/m²,3.5
Bouguenais,19 903,32 km²,622 h/km²,48.2%,5.1%,22 740 €/an,2 708 €/m²,3.4
Guérande,16 112,81 km²,199 h/km²,45.9%,4.9%,24 010 €/an,2 689 €/m²,3.9
La Baule-Escoublac,16 255,22 km²,739 h/km²,34.8%,4.6%,27 150 €/an,4 750 €/m²,4.2
Sainte-Luce-sur-Loire,15 319,11 km²,1 393 h/km²,50.2%,4.2%,24 770 €/an,3 048 €/m²,3.7
Pornic,15 859,94 km²,169 h/km²,39%,4.7%,24 650 €/an,3 444 €/m²,3.7
