Nb habitants,765 634,Classement
Age moyen,57 ans,Classement
Pop active,43.5%,Classement
Taux chômage,5.6%,Classement
Pop densité,160 h/km²,Classement
Revenu moyen,21 313 €/an,Classement
Agressions physiques / sexuelles,5 468
Cambriolages,1 673
Vols / dégradations,7 951
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Saint-Étienne,173 821,80 km²,2 173 h/km²,41.6%,8.5%,18 410 €/an,1 135 €/m²,3.1
Saint-Chamond,34 841,55 km²,633 h/km²,40.7%,6.3%,19 540 €/an,1 545 €/m²,3.5
Roanne,33 809,16 km²,2 113 h/km²,39.9%,8%,18 380 €/an,1 145 €/m²,3.3
Firminy,16 901,10 km²,1 690 h/km²,38.1%,6.7%,18 450 €/an,1 253 €/m²,3.4
Montbrison,15 915,16 km²,995 h/km²,44.7%,6%,21 090 €/an,1 789 €/m²,4.0
Rive-de-Gier,14 978,7 km²,2 140 h/km²,40.6%,7.9%,18 440 €/an,1 732 €/m²,2.6
Saint-Just-Saint-Rambert,15 229,41 km²,371 h/km²,44.5%,3.4%,24 850 €/an,2 168 €/m²,3.8
Le Chambon-Feugerolles,11 948,18 km²,664 h/km²,39.7%,7.5%,18 080 €/an,1 499 €/m²,2.3
Riorges,10 848,16 km²,678 h/km²,43.4%,5.7%,21 530 €/an,1 423 €/m²,3.2
Andrézieux-Bouthéon,9 963,16 km²,623 h/km²,42.2%,5%,20 880 €/an,1 940 €/m²,4.5
Roche-la-Molière,9 884,17 km²,581 h/km²,43.8%,5.1%,21 390 €/an,1 761 €/m²,3.9
Unieux,8 418,9 km²,935 h/km²,44%,5.4%,21 040 €/an,1 717 €/m²,2.8
Veauche,8 973,10 km²,897 h/km²,45.4%,3.5%,23 870 €/an,2 263 €/m²,4.2
Sorbiers,7 874,12 km²,656 h/km²,45.6%,3.4%,24 520 €/an,2 415 €/m²,3.5
Feurs,8 302,24 km²,346 h/km²,39.4%,4.4%,19 910 €/an,1 613 €/m²,3.6
