Nb habitants,680 523,Classement
Age moyen,57 ans,Classement
Pop active,46.1%,Classement
Taux chômage,5.9%,Classement
Pop densité,100 h/km²,Classement
Revenu moyen,22 232 €/an,Classement
Agressions physiques / sexuelles,5 172
Cambriolages,1 049
Vols / dégradations,5 093
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Orléans,116 269,27 km²,4 306 h/km²,48.2%,7.8%,20 420 €/an,2 166 €/m²,3.0
Olivet,22 386,23 km²,973 h/km²,45.2%,4.2%,26 540 €/an,2 234 €/m²,3.8
Fleury-les-Aubrais,21 010,10 km²,2 101 h/km²,46.5%,7.8%,20 470 €/an,1 888 €/m²,2.6
Saint-Jean-de-Braye,21 288,14 km²,1 521 h/km²,47.6%,6.5%,21 370 €/an,1 941 €/m²,3.2
Saint-Jean-de-la-Ruelle,16 411,6 km²,2 735 h/km²,43%,5.6%,18 980 €/an,1 802 €/m²,2.9
Saran,16 357,20 km²,818 h/km²,43.4%,5.8%,22 020 €/an,1 985 €/m²,4.1
Gien,13 566,68 km²,200 h/km²,39.7%,7.2%,18 820 €/an,1 143 €/m²,3.2
Montargis,14 976,4 km²,3 744 h/km²,42%,11.9%,16 240 €/an,1 388 €/m²,3.3
Châlette-sur-Loing,12 688,13 km²,976 h/km²,38.1%,10%,16 760 €/an,1 368 €/m²,3.7
Amilly,13 233,40 km²,331 h/km²,38.9%,6.1%,21 740 €/an,1 502 €/m²,3.8
La Chapelle-Saint-Mesmin,10 180,9 km²,1 131 h/km²,46.7%,4.6%,22 830 €/an,1 818 €/m²,4.2
Pithiviers,9 023,7 km²,1 289 h/km²,43.1%,10.2%,17 380 €/an,1 410 €/m²,2.6
Chécy,8 652,15 km²,577 h/km²,45.7%,4.1%,24 980 €/an,2 006 €/m²,4.1
Ingré,9 482,21 km²,452 h/km²,48.6%,4.5%,24 100 €/an,2 149 €/m²,3.5
Saint-Jean-le-Blanc,9 070,8 km²,1 134 h/km²,48.7%,6%,24 740 €/an,2 039 €/m²,4.1
