Nb habitants,331 271,Classement
Age moyen,58 ans,Classement
Pop active,42.8%,Classement
Taux chômage,6%,Classement
Pop densité,62 h/km²,Classement
Revenu moyen,19 539 €/an,Classement
Agressions physiques / sexuelles,2 021
Cambriolages,477
Vols / dégradations,2 072
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Agen,32 602,11 km²,2 964 h/km²,47.7%,8.8%,18 410 €/an,1 418 €/m²,3.7
Villeneuve-sur-Lot,21 742,81 km²,268 h/km²,38.6%,7.8%,18 720 €/an,1 225 €/m²,2.8
Marmande,17 421,45 km²,387 h/km²,40.7%,7.8%,19 160 €/an,1 353 €/m²,3.3
Le Passage,9 400,13 km²,723 h/km²,44.8%,5.2%,20 940 €/an,1 544 €/m²,3.6
Tonneins,9 130,35 km²,261 h/km²,36.6%,7.2%,18 110 €/an,1 163 €/m²,3.1
Nérac,6 837,63 km²,109 h/km²,39.9%,6.4%,20 460 €/an,1 335 €/m²,3.6
Sainte-Livrade-sur-Lot,6 456,31 km²,208 h/km²,36.7%,6.6%,17 700 €/an,1 232 €/m²,3.7
Bon-Encontre,6 224,21 km²,296 h/km²,44.4%,4.5%,22 290 €/an,1 770 €/m²,3.2
Boé,5 631,17 km²,331 h/km²,45.7%,5.5%,21 560 €/an,1 591 €/m²,2.8
Foulayronnes,5 449,29 km²,188 h/km²,45%,4.6%,24 390 €/an,1 910 €/m²,4.4
Fumel,4 755,23 km²,207 h/km²,33.7%,7.1%,17 760 €/an,1 009 €/m²,3.7
Casteljaloux,4 518,31 km²,146 h/km²,34.9%,5.8%,19 300 €/an,1 352 €/m²,4.6
Aiguillon,4 421,28 km²,158 h/km²,40.8%,8.9%,17 180 €/an,1 099 €/m²,2.2
Pont-du-Casse,4 141,19 km²,218 h/km²,41.1%,3.8%,22 690 €/an,1 627 €/m²,-
Pujols,3 675,25 km²,147 h/km²,39.3%,5%,21 760 €/an,1 452 €/m²,-
