Nb habitants,174 094,Classement
Age moyen,58 ans,Classement
Pop active,42.3%,Classement
Taux chômage,5.4%,Classement
Pop densité,33 h/km²,Classement
Revenu moyen,18 752 €/an,Classement
Agressions physiques / sexuelles,483
Cambriolages,121
Vols / dégradations,517
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Cahors,19 937,65 km²,307 h/km²,43%,7.9%,20 660 €/an,1 453 €/m²,3.1
Figeac,9 802,35 km²,280 h/km²,42.5%,5.8%,21 340 €/an,1 450 €/m²,3.7
Gourdon,3 981,46 km²,87 h/km²,36%,5.4%,20 420 €/an,1 359 €/m²,2.3
Gramat,3 469,57 km²,61 h/km²,40.1%,5.2%,21 000 €/an,1 514 €/m²,4.0
Saint-Céré,3 414,11 km²,310 h/km²,40.5%,5.5%,19 980 €/an,1 139 €/m²,3.1
Pradines,3 562,16 km²,223 h/km²,41.8%,6.1%,22 230 €/an,1 412 €/m²,-
Souillac,3 201,26 km²,123 h/km²,37.2%,8.1%,18 790 €/an,1 351 €/m²,-
Prayssac,2 384,24 km²,99 h/km²,32.3%,4.8%,21 250 €/an,1 623 €/m²,3.1
Biars-sur-Cère,2 044,4 km²,511 h/km²,44.1%,4.9%,19 560 €/an,1 213 €/m²,-
Puy-l'Évêque,1 940,26 km²,75 h/km²,35.5%,6.3%,20 210 €/an,1 141 €/m²,4.2
Castelnau Montratier-Sainte Alauzie,1 833,85 km²,22 h/km²,39.1%,4%,19 760 €/an,1 353 €/m²,-
Luzech,1 789,22 km²,81 h/km²,42.6%,4%,21 430 €/an,1 372 €/m²,-
Montcuq-en-Quercy-Blanc,1 772,78 km²,23 h/km²,36.5%,4.3%,19 060 €/an,1 554 €/m²,-
Lalbenque,1 785,52 km²,34 h/km²,46.1%,4.1%,22 030 €/an,1 720 €/m²,4.4
Martel,1 625,35 km²,46 h/km²,39.4%,4.3%,21 310 €/an,1 907 €/m²,4.8
