Nb habitants,76 604,Classement
Age moyen,57 ans,Classement
Pop active,44.2%,Classement
Taux chômage,4.2%,Classement
Pop densité,15 h/km²,Classement
Revenu moyen,15 747 €/an,Classement
Agressions physiques / sexuelles,284
Cambriolages,7
Vols / dégradations,219
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Mende,12 318,37 km²,333 h/km²,48%,4.9%,21 820 €/an,1 699 €/m²,3.7
Marvejols,4 684,12 km²,390 h/km²,41.3%,4.5%,20 700 €/an,1 428 €/m²,2.4
Saint-Chély-d'Apcher,4 211,28 km²,150 h/km²,42.7%,4.5%,21 120 €/an,1 511 €/m²,3.6
Langogne,2 887,31 km²,93 h/km²,39%,5.4%,20 060 €/an,1 175 €/m²,3.5
Peyre en Aubrac,2 291,153 km²,15 h/km²,44.9%,3.9%,20 360 €/an,1 220 €/m²,-
Bourgs sur Colagne,2 092,53 km²,39 h/km²,42.4%,2.4%,21 540 €/an,1 468 €/m²,4.0
La Canourgue,2 122,104 km²,20 h/km²,42.4%,3.2%,20 950 €/an,981 €/m²,4.6
Florac Trois Rivières,2 067,48 km²,43 h/km²,41.5%,6.7%,19 830 €/an,1 324 €/m²,4.2
Chanac,1 467,71 km²,21 h/km²,46.1%,2.5%,21 480 €/an,1 210 €/m²,-
Saint-Alban-sur-Limagnole,1 379,51 km²,27 h/km²,35.3%,3%,21 630 €/an,1 270 €/m²,-
Monts-de-Randon,1 291,147 km²,9 h/km²,43.8%,2.6%,19 930 €/an,1 409 €/m²,3.0
Montrodat,1 193,21 km²,57 h/km²,39.5%,2.4%,22 550 €/an,1 433 €/m²,-
Banassac-Canilhac,1 067,25 km²,43 h/km²,50.1%,3.8%,21 770 €/an,1 127 €/m²,4.0
Mont Lozère et Goulet,1 039,166 km²,6 h/km²,41.7%,4.2%,19 240 €/an,1 099 €/m²,3.0
Massegros Causses Gorges,960,159 km²,6 h/km²,47.9%,3.3%,21 270 €/an,1 859 €/m²,-
