Nb habitants,818 273,Classement
Age moyen,57 ans,Classement
Pop active,46.3%,Classement
Taux chômage,5.5%,Classement
Pop densité,115 h/km²,Classement
Revenu moyen,21 402 €/an,Classement
Agressions physiques / sexuelles,4 362
Cambriolages,1 191
Vols / dégradations,7 050
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Angers,155 850,43 km²,3 624 h/km²,45.1%,8.6%,20 420 €/an,2 286 €/m²,3.6
Cholet,54 037,87 km²,621 h/km²,45.7%,6.8%,21 120 €/an,1 670 €/m²,3.6
Saumur,26 467,66 km²,401 h/km²,42%,8.1%,20 310 €/an,1 439 €/m²,3.4
Sèvremoine,25 162,213 km²,118 h/km²,50.1%,3.8%,21 460 €/an,1 534 €/m²,3.4
Beaupréau-en-Mauges,23 419,230 km²,102 h/km²,48%,4.2%,20 780 €/an,1 418 €/m²,3.5
Chemillé-en-Anjou,20 828,324 km²,64 h/km²,48.5%,3.8%,20 960 €/an,1 391 €/m²,3.3
Mauges-sur-Loire,17 924,192 km²,93 h/km²,46.1%,3.9%,20 630 €/an,1 400 €/m²,3.1
Segré-en-Anjou Bleu,17 462,242 km²,72 h/km²,45.6%,5%,20 460 €/an,1 255 €/m²,2.6
Orée d'Anjou,16 429,156 km²,105 h/km²,49.7%,3.8%,21 510 €/an,1 712 €/m²,4.3
Montrevault-sur-Èvre,15 668,199 km²,79 h/km²,48%,3.7%,20 410 €/an,1 246 €/m²,3.4
Loire-Authion,15 902,114 km²,139 h/km²,47.5%,3.9%,23 180 €/an,1 854 €/m²,3.7
Trélazé,14 961,12 km²,1 247 h/km²,48%,7.4%,20 140 €/an,2 055 €/m²,3.8
Avrillé,14 443,16 km²,903 h/km²,41.3%,5.5%,24 440 €/an,2 375 €/m²,3.6
Les Ponts-de-Cé,12 819,20 km²,641 h/km²,43%,5.8%,21 960 €/an,2 245 €/m²,4.2
Baugé-en-Anjou,11 829,268 km²,44 h/km²,43.6%,5.3%,19 880 €/an,1 203 €/m²,3.0
