Nb habitants,575 661,Classement
Age moyen,58 ans,Classement
Pop active,44.3%,Classement
Taux chômage,5%,Classement
Pop densité,96 h/km²,Classement
Revenu moyen,19 895 €/an,Classement
Agressions physiques / sexuelles,2 038
Cambriolages,163
Vols / dégradations,1 782
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Cherbourg-en-Cotentin,80 616,69 km²,1 168 h/km²,45.9%,7.6%,19 802 €/an,1 749 €/m²,3.6
Cherbourg-Octeville,78 549,69 km²,1 138 h/km²,46.2%,6.5%,21 600 €/an,1 749 €/m²,3.3
Saint-Lô,19 050,23 km²,828 h/km²,45.3%,6.6%,20 240 €/an,1 368 €/m²,3.6
Granville,12 513,10 km²,1 251 h/km²,35.5%,6.1%,20 960 €/an,2 808 €/m²,3.7
La Hague,11 173,149 km²,75 h/km²,49%,3.9%,23 810 €/an,1 766 €/m²,2.8
Carentan-les-Marais,10 052,133 km²,76 h/km²,42.4%,5.7%,19 920 €/an,1 480 €/m²,3.2
Coutances,8 408,13 km²,647 h/km²,43.1%,6.7%,19 470 €/an,1 379 €/m²,3.8
Avranches,10 264,11 km²,933 h/km²,43.3%,6.1%,20 900 €/an,1 610 €/m²,3.9
Valognes,6 822,16 km²,426 h/km²,42.7%,5.1%,21 340 €/an,1 712 €/m²,3.9
Saint-Hilaire-du-Harcouët,5 850,47 km²,124 h/km²,37.5%,4%,20 010 €/an,1 277 €/m²,4.1
Bricquebec-en-Cotentin,5 826,77 km²,76 h/km²,43.5%,4.8%,21 060 €/an,1 348 €/m²,2.5
Saint-James,4 907,86 km²,57 h/km²,42.6%,4.3%,20 100 €/an,1 102 €/m²,-
Pontorson,4 318,61 km²,71 h/km²,37.8%,5%,20 090 €/an,1 146 €/m²,3.5
Torigny-les-Villes,4 397,39 km²,113 h/km²,45.8%,4.4%,21 000 €/an,1 225 €/m²,4.4
Condé-sur-Vire,4 044,36 km²,112 h/km²,46.1%,3.3%,22 220 €/an,1 427 €/m²,-
