Nb habitants,566 855,Classement
Age moyen,56 ans,Classement
Pop active,46.2%,Classement
Taux chômage,6.1%,Classement
Pop densité,69 h/km²,Classement
Revenu moyen,20 103 €/an,Classement
Agressions physiques / sexuelles,4 963
Cambriolages,775
Vols / dégradations,5 527
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Reims,181 194,47 km²,3 855 h/km²,45.6%,8.6%,19 280 €/an,2 303 €/m²,3.4
Châlons-en-Champagne,44 379,26 km²,1 707 h/km²,45.8%,7.7%,19 390 €/an,1 416 €/m²,3.1
Épernay,22 433,23 km²,975 h/km²,45.9%,7.8%,19 760 €/an,1 692 €/m²,3.6
Vitry-le-François,11 376,6 km²,1 896 h/km²,39.1%,9.1%,16 870 €/an,954 €/m²,2.7
Tinqueux,10 294,4 km²,2 574 h/km²,44.8%,4.7%,23 070 €/an,2 354 €/m²,3.4
Bétheny,7 069,20 km²,353 h/km²,43.7%,4.4%,23 550 €/an,2 132 €/m²,4.1
Cormontreuil,6 458,5 km²,1 292 h/km²,40.8%,4.1%,25 140 €/an,2 695 €/m²,4.8
Aÿ-Champagne,5 309,32 km²,166 h/km²,45.5%,4.3%,23 190 €/an,1 998 €/m²,-
Saint-Memmie,5 474,13 km²,421 h/km²,45.2%,7.2%,20 140 €/an,1 632 €/m²,2.8
Fismes,5 589,17 km²,329 h/km²,44.2%,6.4%,19 520 €/an,1 520 €/m²,3.9
Mourmelon-le-Grand,5 150,23 km²,224 h/km²,56.4%,4.6%,19 500 €/an,1 696 €/m²,-
Witry-lès-Reims,4 971,16 km²,311 h/km²,47.6%,3.3%,23 680 €/an,2 092 €/m²,3.8
Sézanne,4 772,23 km²,207 h/km²,43.1%,6.6%,20 340 €/an,NC,3.8
Fagnières,4 843,19 km²,255 h/km²,40.8%,4.4%,21 230 €/an,1 453 €/m²,3.8
Sainte-Menehould,4 165,57 km²,73 h/km²,41.8%,7.2%,19 710 €/an,1 009 €/m²,3.0
