Nb habitants,733 760,Classement
Age moyen,55 ans,Classement
Pop active,45.5%,Classement
Taux chômage,6.2%,Classement
Pop densité,140 h/km²,Classement
Revenu moyen,19 169 €/an,Classement
Agressions physiques / sexuelles,6 197
Cambriolages,648
Vols / dégradations,6 060
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Nancy,105 058,15 km²,7 004 h/km²,47%,8.3%,21 300 €/an,2 020 €/m²,3.5
Vandoeuvre-lès-Nancy,29 942,9 km²,3 327 h/km²,37.3%,7%,18 000 €/an,1 650 €/m²,3.6
Lunéville,17 867,16 km²,1 117 h/km²,43.2%,8.3%,18 590 €/an,1 159 €/m²,3.3
Toul,15 633,31 km²,504 h/km²,43.5%,7.6%,18 740 €/an,1 346 €/m²,4.0
Pont-à-Mousson,14 497,22 km²,659 h/km²,45.1%,7.2%,20 520 €/an,1 580 €/m²,4.1
Villers-lès-Nancy,14 525,10 km²,1 453 h/km²,43.4%,4.6%,25 590 €/an,2 003 €/m²,3.9
Longwy,14 774,5 km²,2 955 h/km²,45.5%,8.5%,17 760 €/an,1 355 €/m²,2.8
Laxou,14 366,16 km²,898 h/km²,45.7%,8.4%,22 230 €/an,1 986 €/m²,3.3
Maxéville,9 818,6 km²,1 636 h/km²,39.1%,9.2%,17 160 €/an,1 728 €/m²,3.8
Dombasle-sur-Meurthe,9 668,11 km²,879 h/km²,44.7%,5.5%,21 250 €/an,1 539 €/m²,3.2
Saint-Max,10 019,2 km²,5 010 h/km²,47%,7.2%,21 440 €/an,1 729 €/m²,4.2
Villerupt,10 003,7 km²,1 429 h/km²,44.1%,7.1%,20 750 €/an,1 686 €/m²,2.2
Jarville-la-Malgrange,9 354,2 km²,4 677 h/km²,43.3%,7.3%,18 460 €/an,1 587 €/m²,3.0
Essey-lès-Nancy,8 833,6 km²,1 472 h/km²,46.5%,6.3%,21 910 €/an,2 018 €/m²,4.0
Tomblaine,8 856,6 km²,1 476 h/km²,45.7%,5.7%,20 490 €/an,1 912 €/m²,3.4
