Nb habitants,759 849,Classement
Age moyen,58 ans,Classement
Pop active,43.3%,Classement
Taux chômage,5.2%,Classement
Pop densité,111 h/km²,Classement
Revenu moyen,21 444 €/an,Classement
Agressions physiques / sexuelles,4 221
Cambriolages,1 122
Vols / dégradations,5 066
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Lorient,57 246,17 km²,3 367 h/km²,43.9%,8.3%,19 700 €/an,1 839 €/m²,3.3
Vannes,53 719,32 km²,1 679 h/km²,41.6%,6.6%,22 540 €/an,2 782 €/m²,3.9
Lanester,23 124,18 km²,1 285 h/km²,44%,6.9%,20 260 €/an,1 743 €/m²,3.9
Ploemeur,17 778,40 km²,444 h/km²,36.7%,4.2%,25 320 €/an,2 922 €/m²,3.9
Hennebont,16 062,19 km²,845 h/km²,44.2%,6.1%,20 930 €/an,1 780 €/m²,3.3
Pontivy,15 064,25 km²,603 h/km²,42.6%,7%,20 610 €/an,1 281 €/m²,3.6
Auray,14 141,7 km²,2 020 h/km²,43.7%,6.8%,21 240 €/an,2 621 €/m²,3.7
Guidel,11 767,52 km²,226 h/km²,44.8%,5.1%,25 080 €/an,2 645 €/m²,3.6
Saint-Avé,11 895,26 km²,458 h/km²,45.8%,5.4%,23 270 €/an,2 381 €/m²,3.7
Ploërmel,9 791,58 km²,169 h/km²,44.7%,4.9%,22 010 €/an,1 631 €/m²,3.4
Séné,8 900,20 km²,445 h/km²,42.1%,5.1%,24 300 €/an,2 885 €/m²,4.2
Quéven,8 770,24 km²,365 h/km²,43.3%,3.4%,23 050 €/an,2 046 €/m²,4.3
Larmor-Plage,8 319,7 km²,1 188 h/km²,35.4%,4.4%,28 220 €/an,3 477 €/m²,3.4
Sarzeau,8 791,60 km²,147 h/km²,32%,4.8%,24 840 €/an,3 106 €/m²,4.3
Theix-Noyalo,8 251,52 km²,159 h/km²,44.9%,3.9%,23 630 €/an,2 383 €/m²,-
